"season","week","team","opponent","gsis_id","sleeper_id","full_name","passer_gsis_id","bucket","targets","target_read_share","receptions","receiving_yards","yards_per_target","air_yards","adot","yac","epa_per_target","success_rate","first_down_rate","explosive_rate","receiving_tds","td_rate","targets_eligible","targets_charted_read","read_coverage_rate","output_class","source","read_semantics"
2026,1,"ARI","LAC","00-0041027","13287","Jeremiyah Love","00-0033119","RAW_1",3,0.75,1,5,1.66666666666667,5,1.66666666666667,1,-0.498190560999016,0,0,0,0,0,4,4,1,"DESCRIPTIVE_ONLY","FTN Data via nflverse","0|1|2=RAW_NUMERIC_UNVERIFIED_SOURCE_CONFLICT|CHK=CHECKDOWN|DES=DESIGNED|SD=SCRAMBLE_DRILL"
2026,1,"ATL","PIT","00-0035208","6271","Olamide Zaccheaus","00-0033662","RAW_1",1,1,1,5,5,5,5,0,-0.108711670909543,0,0,0,0,0,1,1,1,"DESCRIPTIVE_ONLY","FTN Data via nflverse","0|1|2=RAW_NUMERIC_UNVERIFIED_SOURCE_CONFLICT|CHK=CHECKDOWN|DES=DESIGNED|SD=SCRAMBLE_DRILL"
2026,1,"ATL","PIT","00-0036970","7553","Kyle Pitts","00-0033662","RAW_1",1,1,0,0,0,26,26,,-0.91247421503067,0,0,0,0,0,1,1,1,"DESCRIPTIVE_ONLY","FTN Data via nflverse","0|1|2=RAW_NUMERIC_UNVERIFIED_SOURCE_CONFLICT|CHK=CHECKDOWN|DES=DESIGNED|SD=SCRAMBLE_DRILL"
2026,1,"ATL","PIT","00-0037238","8112","Drake London","00-0033662","RAW_1",4,1,2,29,7.25,22,5.5,7,0.179812646611217,0.5,0.25,0.25,0,0,4,4,1,"DESCRIPTIVE_ONLY","FTN Data via nflverse","0|1|2=RAW_NUMERIC_UNVERIFIED_SOURCE_CONFLICT|CHK=CHECKDOWN|DES=DESIGNED|SD=SCRAMBLE_DRILL"
2026,1,"ATL","PIT","00-0037741","8119","Jahan Dotson","00-0033662","RAW_1",2,0.666666666666667,1,19,9.5,35,17.5,1,0.0907417332055047,0.5,0.5,0.5,0,0,3,3,1,"DESCRIPTIVE_ONLY","FTN Data via nflverse","0|1|2=RAW_NUMERIC_UNVERIFIED_SOURCE_CONFLICT|CHK=CHECKDOWN|DES=DESIGNED|SD=SCRAMBLE_DRILL"
2026,1,"ATL","PIT","00-0037741","8119","Jahan Dotson","00-0033662","SCRAMBLE_DRILL",1,0.333333333333333,0,0,0,17,17,,-4.75561617780477,0,0,0,0,0,3,3,1,"DESCRIPTIVE_ONLY","FTN Data via nflverse","0|1|2=RAW_NUMERIC_UNVERIFIED_SOURCE_CONFLICT|CHK=CHECKDOWN|DES=DESIGNED|SD=SCRAMBLE_DRILL"
2026,1,"ATL","PIT","00-0038542","9509","Bijan Robinson","00-0033662","CHECKDOWN",3,0.3,1,7,2.33333333333333,-15,-5,12,-2.80428530202092,0.333333333333333,0,0,0,0,10,10,1,"DESCRIPTIVE_ONLY","FTN Data via nflverse","0|1|2=RAW_NUMERIC_UNVERIFIED_SOURCE_CONFLICT|CHK=CHECKDOWN|DES=DESIGNED|SD=SCRAMBLE_DRILL"
2026,1,"ATL","PIT","00-0038542","9509","Bijan Robinson","00-0033662","DESIGNED",5,0.5,5,65,13,-21,-4.2,86,1.09799311259515,0.6,0.4,0.4,1,0.2,10,10,1,"DESCRIPTIVE_ONLY","FTN Data via nflverse","0|1|2=RAW_NUMERIC_UNVERIFIED_SOURCE_CONFLICT|CHK=CHECKDOWN|DES=DESIGNED|SD=SCRAMBLE_DRILL"
2026,1,"ATL","PIT","00-0038542","9509","Bijan Robinson","00-0033662","RAW_1",2,0.2,2,18,9,6,3,12,0.392498825764051,0.5,0,0,0,0,10,10,1,"DESCRIPTIVE_ONLY","FTN Data via nflverse","0|1|2=RAW_NUMERIC_UNVERIFIED_SOURCE_CONFLICT|CHK=CHECKDOWN|DES=DESIGNED|SD=SCRAMBLE_DRILL"
2026,1,"BAL","IND","00-0032398","3269","Chris Moore","00-0034796","RAW_1",2,1,1,53,26.5,68,34,23,1.60463032481493,0.5,0.5,0.5,0,0,2,2,1,"DESCRIPTIVE_ONLY","FTN Data via nflverse","0|1|2=RAW_NUMERIC_UNVERIFIED_SOURCE_CONFLICT|CHK=CHECKDOWN|DES=DESIGNED|SD=SCRAMBLE_DRILL"
2026,1,"BAL","IND","00-0032764","3198","Derrick Henry","00-0034796","DESIGNED",1,1,1,19,19,-1,-1,20,1.70314843778033,1,1,1,0,0,1,1,1,"DESCRIPTIVE_ONLY","FTN Data via nflverse","0|1|2=RAW_NUMERIC_UNVERIFIED_SOURCE_CONFLICT|CHK=CHECKDOWN|DES=DESIGNED|SD=SCRAMBLE_DRILL"
2026,1,"BAL","IND","00-0034753","5012","Mark Andrews","00-0034796","RAW_1",5,0.833333333333333,3,39,7.8,36,7.2,10,0.496815920760855,0.6,0.4,0.2,0,0,6,6,1,"DESCRIPTIVE_ONLY","FTN Data via nflverse","0|1|2=RAW_NUMERIC_UNVERIFIED_SOURCE_CONFLICT|CHK=CHECKDOWN|DES=DESIGNED|SD=SCRAMBLE_DRILL"
2026,1,"BAL","IND","00-0034753","5012","Mark Andrews","00-0034796","SCRAMBLE_DRILL",1,0.166666666666667,1,10,10,8,8,2,-0.401252658572048,0,0,0,0,0,6,6,1,"DESCRIPTIVE_ONLY","FTN Data via nflverse","0|1|2=RAW_NUMERIC_UNVERIFIED_SOURCE_CONFLICT|CHK=CHECKDOWN|DES=DESIGNED|SD=SCRAMBLE_DRILL"
2026,1,"BAL","IND","00-0034798","5008","Durham Smythe","00-0034796","RAW_1",1,1,1,4,4,4,4,0,0.0780366834951565,1,0,0,0,0,1,1,1,"DESCRIPTIVE_ONLY","FTN Data via nflverse","0|1|2=RAW_NUMERIC_UNVERIFIED_SOURCE_CONFLICT|CHK=CHECKDOWN|DES=DESIGNED|SD=SCRAMBLE_DRILL"
