"season","through_week","feature","offense_team","defense_team","offense_rating","defense_rating","offense_percentile","defense_percentile","interaction_signal","predictive_status","confidence","output_class"
2026,3,"pass_epa_vs_pass_defense","ARI","ATL",-0.0221,-0.0361,0.4194,0.7097,0.129,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","ARI","BAL",-0.0221,-0.0455,0.4194,0.7419,0.1613,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","ARI","BUF",-0.0221,0.0313,0.4194,0.2258,-0.3548,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","ARI","CAR",-0.0221,-0.021,0.4194,0.5484,-0.0323,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","ARI","CHI",-0.0221,0.0114,0.4194,0.3871,-0.1935,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","ARI","CIN",-0.0221,0.0527,0.4194,0.1935,-0.3871,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","ARI","CLE",-0.0221,0.0291,0.4194,0.2903,-0.2903,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","ARI","DAL",-0.0221,0.0603,0.4194,0.1613,-0.4194,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","ARI","DEN",-0.0221,-0.0807,0.4194,0.9355,0.3548,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","ARI","DET",-0.0221,-0.0625,0.4194,0.9032,0.3226,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","ARI","GB",-0.0221,0.1058,0.4194,0.0968,-0.4839,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","ARI","HOU",-0.0221,-0.0291,0.4194,0.6452,0.0645,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","ARI","IND",-0.0221,0.008,0.4194,0.4194,-0.1613,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","ARI","JAX",-0.0221,0.0188,0.4194,0.3548,-0.2258,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","ARI","KC",-0.0221,-0.0219,0.4194,0.5806,0,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","ARI","LAC",-0.0221,0.0295,0.4194,0.2581,-0.3226,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","ARI","LAR",-0.0221,-0.142,0.4194,1,0.4194,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","ARI","LV",-0.0221,-0.0323,0.4194,0.6774,0.0968,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","ARI","MIA",-0.0221,0.0291,0.4194,0.3226,-0.2581,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","ARI","MIN",-0.0221,-0.1205,0.4194,0.9677,0.3871,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
