"season","through_week","team","side","metric","output_class","raw","modeled","league_percentile","n_obs_effective","prior_mean","prior_n_seasons","confidence"
2026,2,"TEN","defense","coverage_allowed_epa_RB","MODELED",0.0906618922872622,0.0272970917877535,0.284210526315789,1,0.0442865778447125,4,"INSUFFICIENT_SAMPLE"
2026,2,"WAS","defense","coverage_allowed_epa_RB","MODELED",-0.326329326101889,0.00890452586017449,0.484210526315789,1,0.0148996518248463,4,"INSUFFICIENT_SAMPLE"
2026,2,"ARI","defense","coverage_allowed_epa_WR","MODELED",-0.00043129505647812,0.0120975267671163,0.410526315789474,1,0.0200596960691228,4,"INSUFFICIENT_SAMPLE"
2026,2,"ATL","defense","coverage_allowed_epa_WR","MODELED",-0.162556864048575,0.0151206098553243,0.4,1,0.0252280130975266,4,"INSUFFICIENT_SAMPLE"
2026,2,"BAL","defense","coverage_allowed_epa_WR","MODELED",-0.00836863911697745,0.0115723505909659,0.421052631578947,1,0.0192157283255114,4,"INSUFFICIENT_SAMPLE"
2026,2,"BUF","defense","coverage_allowed_epa_WR","MODELED",0.58030134764482,-0.000803685262815995,0.547368421052632,1.99891891891892,-0.00326166263891511,4,"INSUFFICIENT_SAMPLE"
2026,2,"CAR","defense","coverage_allowed_epa_WR","MODELED",0.744986607091864,0.0112730430620146,0.431578947368421,1,0.0175831146714836,4,"INSUFFICIENT_SAMPLE"
2026,2,"CHI","defense","coverage_allowed_epa_WR","MODELED",0.428722229669802,0.0076260298127038,0.494736842105263,1,0.0121253426441504,4,"INSUFFICIENT_SAMPLE"
2026,2,"CIN","defense","coverage_allowed_epa_WR","MODELED",0.667050859903351,0.017933193663157,0.357894736842105,1,0.0285501544286909,4,"INSUFFICIENT_SAMPLE"
2026,2,"CLE","defense","coverage_allowed_epa_WR","MODELED",1.35801170173051,-0.0437115300829149,0.789473684210526,1,-0.072857559241745,4,"INSUFFICIENT_SAMPLE"
2026,2,"DAL","defense","coverage_allowed_epa_WR","MODELED",0.531752103415783,0.102645735395855,0.0526315789473684,1,0.166675854714672,4,"INSUFFICIENT_SAMPLE"
2026,2,"DEN","defense","coverage_allowed_epa_WR","MODELED",-0.848737644773792,-0.0425801269830575,0.768421052631579,1,-0.0677086509303263,4,"INSUFFICIENT_SAMPLE"
2026,2,"DET","defense","coverage_allowed_epa_WR","MODELED",0.785299687185868,-0.0102551967281535,0.568421052631579,1.84905660377358,-0.0184647811083235,4,"INSUFFICIENT_SAMPLE"
2026,2,"GB","defense","coverage_allowed_epa_WR","MODELED",0.396209023097821,0.0586446578092225,0.147368421052632,1,0.0952427361479494,4,"INSUFFICIENT_SAMPLE"
2026,2,"HOU","defense","coverage_allowed_epa_WR","MODELED",0.616315466215035,-0.0565026823402303,0.831578947368421,1,-0.0925007289266958,4,"INSUFFICIENT_SAMPLE"
2026,2,"IND","defense","coverage_allowed_epa_WR","MODELED",0.81150095715254,0.0162225326444675,0.378947368421053,1,0.0255470640523793,4,"INSUFFICIENT_SAMPLE"
2026,2,"JAX","defense","coverage_allowed_epa_WR","MODELED",-0.209344521674824,-0.0843505195595781,0.936842105263158,1,-0.136660153200174,4,"INSUFFICIENT_SAMPLE"
