"season","through_week","team","side","metric","output_class","predictive_status","raw","modeled","league_mean","league_percentile","n_obs_effective","prior_mean","prior_n_seasons","prior_discount","prior_weight","recent_weight","shrunk_to_league","std_error","confidence","trend_current_level","trend_recent_level","trend_direction","trend_magnitude","trend_confidence"
2026,2,"ARI","offense","off_pass_epa","MODELED","PREDICTIVE",0.0147575101687721,-0.0545002757318087,0.0835443745004262,0.161290322580645,64.9514719685488,-0.00589824233186319,4,1,0.311727603966154,0.168726389423588,0.519546006610257,0.039694770695593,"MEDIUM",-0.0545002757318087,-0.311541773959512,"deteriorating",-0.836638202321252,"MEDIUM"
2026,2,"ATL","offense","off_pass_epa","MODELED","PREDICTIVE",-0.653552174851222,-0.151099143939165,0.0835443745004262,0,61.6343146456992,-0.0489745772437326,4,0.6,0.215805140057191,0.184736137561723,0.599458722381086,0.0428266679078977,"LOW",-0.151099143939165,-0.761262664531325,"deteriorating",-1.98600659625011,"HIGH"
2026,2,"BAL","offense","off_pass_epa","MODELED","PREDICTIVE",0.245919734586479,0.0724923811488588,0.0835443745004262,0.903225806451613,62.2459663355876,0.0804030309347941,4,0.44,0.167594591399267,0.197577410876237,0.634827997724496,0.0444335525483188,"LOW",0.0724923811488588,0.290208836818311,"uncertain",0.708640065292824,"LOW"
2026,2,"BUF","offense","off_pass_epa","MODELED","PREDICTIVE",0.532575429407418,0.146083312031644,0.0835443745004262,0.967741935483871,66.7281685887721,0.156356338806138,4,1,0.310295473013765,0.172545405296627,0.517159121689608,0.0407361940103916,"MEDIUM",0.146083312031644,0.571580377301365,"improving",1.38494018372423,"MEDIUM"
2026,2,"CAR","offense","off_pass_epa","MODELED","PREDICTIVE",0.311672601319024,0.0438141013715162,0.0835443745004262,0.741935483870968,76.4336742217333,-0.120230273316527,4,0.8,0.257764017178654,0.205227613699151,0.537008369122195,0.0463187205568136,"MEDIUM",0.0438141013715162,0.35934072713384,"improving",1.02700004000299,"MEDIUM"
2026,2,"CHI","offense","off_pass_epa","MODELED","PREDICTIVE",0.225791388900489,0.051504962315202,0.0835443745004262,0.774193548387097,74.0809214052527,-0.00611886437089164,4,1,0.304505987176675,0.187984034195534,0.507509978627791,0.0436538924427417,"MEDIUM",0.051504962315202,0.276924487152458,"improving",0.733712600215564,"MEDIUM"
2026,2,"CIN","offense","off_pass_epa","MODELED","PREDICTIVE",-0.0250611728467976,-0.0441811030144803,0.0835443745004262,0.290322580645161,68.2103708419566,0.0186254624246254,4,1,0.309110752862532,0.175704659033248,0.51518458810422,0.0410731067123934,"MEDIUM",-0.0441811030144803,-0.274464154747219,"deteriorating",-0.749542777159105,"MEDIUM"
2026,2,"CLE","offense","off_pass_epa","MODELED","PREDICTIVE",0.0794272602119795,-0.0877193881750793,0.0835443745004262,0.032258064516129,61.1165168988837,-0.278744092759025,4,0.264,0.108198008417363,0.208733756624537,0.6830682349581,0.0461234228283307,"LOW",-0.0877193881750793,-0.262343264693736,"uncertain",-0.568379063848731,"LOW"
2026,2,"DAL","offense","off_pass_epa","MODELED","PREDICTIVE",0.393382944391022,-0.0228757535219172,0.0835443745004262,0.451612903225806,67.3398202786605,0.0423327366142597,4,1,0.309805482724883,0.173852046066977,0.516342471208139,0.040740464337765,"MEDIUM",-0.0228757535219172,-0.194812575878928,"uncertain",-0.559633035760505,"LOW"
2026,2,"DEN","offense","off_pass_epa","MODELED","PREDICTIVE",-0.0718902420412002,-0.028256240216735,0.0835443745004262,0.354838709677419,59.7281685887721,0.0162792900020942,4,1,0.316015534075257,0.157291909132648,0.526692556792095,0.0374833783596299,"MEDIUM",-0.028256240216735,-0.201009046907525,"uncertain",-0.562288963580884,"LOW"
2026,2,"DET","offense","off_pass_epa","MODELED","PREDICTIVE",0.233850713334025,0.0646486153932406,0.0835443745004262,0.806451612903226,79.6925730951411,0.156791944508398,4,0.8,0.255528075013846,0.212121768707308,0.532350156278846,0.0479661513428915,"MEDIUM",0.0646486153932406,0.113170393246129,"uncertain",0.157932369972066,"LOW"
2026,2,"GB","offense","off_pass_epa","MODELED","PREDICTIVE",-0.076648482690921,0.0716216125133693,0.0835443745004262,0.870967741935484,72.0453259116217,0.163389106602591,4,1,0.306087056951806,0.183767848128517,0.510145094919677,0.0428343856014246,"MEDIUM",0.0716216125133693,0.109456125008189,"uncertain",0.123146646505016,"LOW"
2026,2,"HOU","offense","off_pass_epa","MODELED","PREDICTIVE",-0.0339235870489066,-0.0712375447411643,0.0835443745004262,0.129032258064516,97.5631236584372,-0.00559340801718703,4,0.8,0.243925292358732,0.247897015227244,0.508177692414025,0.0567685283727926,"MEDIUM",-0.0712375447411643,-0.28070117120373,"uncertain",-0.681778129615818,"LOW"
2026,2,"IND","offense","off_pass_epa","MODELED","PREDICTIVE",-0.142612850043683,-0.0119862550115071,0.0835443745004262,0.483870967741935,62.5987191520682,-0.00525434555800721,4,1,0.31364454190006,0.163614554933174,0.522740903166766,0.0387205378269771,"MEDIUM",-0.0119862550115071,-0.056203274610068,"uncertain",-0.143920915665424,"LOW"
2026,2,"JAX","offense","off_pass_epa","MODELED","PREDICTIVE",0.239802122918377,0.0432504944491644,0.0835443745004262,0.709677419354839,51.893213519107,0.0250387089996379,4,1,0.322673271890278,0.139537941625925,0.537788786483797,0.0346336468695147,"MEDIUM",0.0432504944491644,0.242957554969511,"uncertain",0.650021717336053,"LOW"
2026,2,"KC","offense","off_pass_epa","MODELED","PREDICTIVE",0.184052397409101,0.0712150514427575,0.0835443745004262,0.838709677419355,79.7281685887721,0.0784722071041307,4,1,0.300204012200732,0.199455967464715,0.500340020334553,0.0472942942909509,"MEDIUM",0.0712150514427575,0.231491925192495,"uncertain",0.521681348934799,"LOW"
2026,2,"LAC","offense","off_pass_epa","MODELED","PREDICTIVE",-0.107929274763855,0.0125961247659216,0.0835443745004262,0.548387096774194,61.4692697153643,0.00423068615881837,4,0.8,0.268554553168837,0.171956794396087,0.559488652435076,0.039570529857319,"MEDIUM",0.0125961247659216,0.0638637302938647,"uncertain",0.166869698558233,"LOW"
2026,2,"LAR","offense","off_pass_epa","MODELED","PREDICTIVE",0.156832651019831,0.0132906172670351,0.0835443745004262,0.580645161290323,57.2459663355876,0.118008645769507,4,1,0.318094852452978,0.151747060125391,0.530158087421631,0.0366153048485483,"MEDIUM",0.0132906172670351,-0.149490820527508,"uncertain",-0.529833394322384,"LOW"
2026,2,"LV","offense","off_pass_epa","MODELED","PREDICTIVE",0.10442189554129,-0.0802399654629414,0.0835443745004262,0.0967741935483871,58.9870674621799,-0.139680814962159,4,0.33,0.13262463219381,0.197553993089977,0.669821374716213,0.043551555367259,"LOW",-0.0802399654629414,-0.313337422505129,"deteriorating",-0.758703317441261,"MEDIUM"
