"gsis_id","full_name","season","through_week","domain","dimension","trend","evidence_state","confidence","latest","baseline_recent","baseline_season","baseline_prior","delta","n_games_season","opportunity_total"
"00-0039751","Jordan Whittington",2026,1,"PARTICIPATION","snap_share_derived","EXPANDING","TENTATIVE","MEDIUM",0.416666666666667,0.223707255019815,,0.223709886868735,0.192959411646852,1,25
"00-0039751","Jordan Whittington",2026,1,"RETURNS","kick_return_opportunity_share","EXPANDING","TENTATIVE","LOW",0.8,0.548230983385417,,0.547621847415412,0.251769016614583,1,4
"00-0039794","Braelon Allen",2026,1,"PARTICIPATION","snap_share_derived","EXPANDING","TENTATIVE","MEDIUM",0.421875,0.221566134987419,,0.212525803077114,0.200308865012581,1,27
"00-0039811","MarShawn Lloyd",2026,1,"PARTICIPATION","snap_share_derived","EXPANDING","TENTATIVE","MEDIUM",0.441176470588235,0.142857142857143,,,0.298319327731092,1,30
"00-0039811","MarShawn Lloyd",2026,1,"RUSHING","position_group_rush_share","EXPANDING","TENTATIVE","MEDIUM",0.65,0.13953488372093,,,0.51046511627907,1,13
"00-0039811","MarShawn Lloyd",2026,1,"RUSHING","rush_share","EXPANDING","TENTATIVE","MEDIUM",0.590909090909091,0.117647058823529,,,0.473262032085562,1,13
"00-0039847","Theo Johnson",2026,1,"PARTICIPATION","snap_share_derived","CONTRACTING","TENTATIVE","MEDIUM",0.484848484848485,0.901556584779901,,0.901764424545632,-0.416708099931416,1,32
"00-0039849","Marvin Harrison Jr.",2026,1,"PARTICIPATION","snap_share_derived","EXPANDING","TENTATIVE","MEDIUM",0.819444444444444,0.569567874824907,,0.565977639572742,0.249876569619537,1,59
"00-0039849","Marvin Harrison Jr.",2026,1,"RECEIVING","position_group_target_share","CONTRACTING","TENTATIVE","LOW",0.166666666666667,0.332937360325175,,0.330585817142802,-0.166270693658508,1,3
"00-0039874","Jaylen Wright",2026,1,"PARTICIPATION","snap_share_derived","CONTRACTING","TENTATIVE","LOW",0.0727272727272727,0.278743458091213,,0.284235549196044,-0.20601618536394,1,4
"00-0039875","Ray Davis",2026,1,"PARTICIPATION","snap_share_derived","CONTRACTING","TENTATIVE","LOW",0.0892857142857143,0.311234926861648,,0.31140882448162,-0.221949212575934,1,5
"00-0039880","Malik Washington",2026,1,"PARTICIPATION","snap_share_derived","EXPANDING","TENTATIVE","MEDIUM",1,0.615213019245364,,0.615112657261387,0.384786980754636,1,55
"00-0039880","Malik Washington",2026,1,"RECEIVING","air_yards_share","EXPANDING","TENTATIVE","LOW",0.436893203883495,0.122707700193161,,0.122682607651271,0.314185503690334,1,8
"00-0039880","Malik Washington",2026,1,"RECEIVING","position_group_target_share","EXPANDING","TENTATIVE","LOW",0.421052631578947,0.281244145905622,,0.281355991060128,0.139808485673325,1,8
"00-0039880","Malik Washington",2026,1,"RECEIVING","target_share","EXPANDING","TENTATIVE","LOW",0.2,0.107317868326585,,0.107341459902768,0.092682131673415,1,8
"00-0039880","Malik Washington",2026,1,"RETURNS","kick_return_opportunity_share","CONTRACTING","TENTATIVE","LOW",0.6,0.752616175578275,,0.752629983705013,-0.152616175578275,1,3
"00-0039890","Adonai Mitchell",2026,1,"RECEIVING","air_yards_share","CONTRACTING","TENTATIVE","LOW",0.351190476190476,0.479744499682153,,0.481104683933068,-0.128554023491677,1,3
"00-0039890","Adonai Mitchell",2026,1,"RECEIVING","position_group_target_share","CONTRACTING","TENTATIVE","LOW",0.230769230769231,0.319847692310378,,0.320663670887563,-0.0890784615411477,1,3
"00-0039893","Brian Thomas Jr.",2026,1,"PARTICIPATION","snap_share_derived","CONTRACTING","TENTATIVE","MEDIUM",0.37037037037037,0.744982642420931,,0.744240751411066,-0.37461227205056,1,20
"00-0039894","Xavier Worthy",2026,1,"RECEIVING","position_group_target_share","EXPANDING","TENTATIVE","LOW",0.6,0.28751090516211,,0.28685603166169,0.31248909483789,1,6
"00-0039910","Jayden Daniels",2026,1,"PARTICIPATION","snap_share_derived","EXPANDING","TENTATIVE","MEDIUM",1,0.856856321496914,,0.848828294432965,0.143143678503086,1,70
"00-0039912","Ben Sinnott",2026,1,"PARTICIPATION","snap_share_derived","CONTRACTING","TENTATIVE","MEDIUM",0.257142857142857,0.526191879684198,,0.527906796709709,-0.269049022541341,1,18
"00-0039915","Ladd McConkey",2026,1,"PARTICIPATION","snap_share_derived","CONTRACTING","TENTATIVE","MEDIUM",0.490909090909091,0.824245712961468,,0.824305624361481,-0.333336622052377,1,27
"00-0039915","Ladd McConkey",2026,1,"RECEIVING","air_yards_share","EXPANDING","TENTATIVE","LOW",0.355311355311355,0.212330578838826,,0.211952564439758,0.142980776472529,1,7
"00-0039915","Ladd McConkey",2026,1,"RECEIVING","position_group_target_share","EXPANDING","TENTATIVE","LOW",0.35,0.22853910757089,,0.228023987267938,0.12146089242911,1,7
"00-0039919","Rome Odunze",2026,1,"PARTICIPATION","snap_share_derived","CONTRACTING","TENTATIVE","MEDIUM",0.48,0.786997854514207,,0.786336809476367,-0.306997854514207,1,36
"00-0039919","Rome Odunze",2026,1,"RECEIVING","position_group_target_share","CONTRACTING","TENTATIVE","LOW",0.166666666666667,0.312040061893986,,0.312872181559254,-0.145373395227319,1,3
"00-0040024","Darius Cooper",2026,1,"PARTICIPATION","snap_share_derived","CONTRACTING","TENTATIVE","LOW",0.150943396226415,0.390062457943562,,0.390062457943562,-0.239119061717147,1,8
"00-0040075","LaJohntay Wester",2026,1,"PARTICIPATION","snap_share_derived","EXPANDING","TENTATIVE","MEDIUM",0.3125,0.116185958336426,,0.116185958336426,0.196314041663574,1,20
"00-0040122","Ashton Jeanty",2026,1,"HIGH_VALUE","rz_carry_share","CONTRACTING","TENTATIVE","LOW",0.75,0.900118091059595,,0.900118091059595,-0.150118091059595,1,3
"00-0040122","Ashton Jeanty",2026,1,"HIGH_VALUE","rz_target_share","EXPANDING","TENTATIVE","LOW",0.5,0.0394734516404159,,0.0394734516404159,0.460526548359584,1,4
"00-0040122","Ashton Jeanty",2026,1,"PARTICIPATION","snap_share_derived","CONTRACTING","TENTATIVE","MEDIUM",0.769230769230769,0.860473100048496,,0.860473100048496,-0.0912423308177264,1,50
"00-0040122","Ashton Jeanty",2026,1,"RECEIVING","air_yards_share","EXPANDING","TENTATIVE","LOW",0.079646017699115,-0.00911321800814116,,-0.00911321800814116,0.0887592357072562,1,6
"00-0040122","Ashton Jeanty",2026,1,"RUSHING","position_group_rush_share","CONTRACTING","TENTATIVE","MEDIUM",0.741935483870968,0.93284447979687,,0.93284447979687,-0.190908995925902,1,23
"00-0040122","Ashton Jeanty",2026,1,"RUSHING","rush_share","CONTRACTING","TENTATIVE","MEDIUM",0.696969696969697,0.828343072602509,,0.828343072602509,-0.131373375632812,1,23
"00-0040124","Tetairoa McMillan",2026,1,"RECEIVING","air_yards_share","CONTRACTING","TENTATIVE","LOW",0.325136612021858,0.459333534338223,,0.459333534338223,-0.134196922316365,1,8
"00-0040126","Colston Loveland",2026,1,"PARTICIPATION","snap_share_derived","EXPANDING","TENTATIVE","MEDIUM",0.866666666666667,0.752370875588284,,0.752370875588284,0.114295791078382,1,65
"00-0040128","Tyler Warren",2026,1,"RECEIVING","position_group_target_share","EXPANDING","TENTATIVE","LOW",0.833333333333333,0.715958129106538,,0.715958129106538,0.117375204226795,1,5
"00-0040129","Emeka Egbuka",2026,1,"PARTICIPATION","snap_share_derived","EXPANDING","TENTATIVE","MEDIUM",0.875,0.659678429142405,,0.659678429142405,0.215321570857595,1,49
"00-0040129","Emeka Egbuka",2026,1,"RECEIVING","air_yards_share","EXPANDING","TENTATIVE","LOW",0.587412587412587,0.27285373262701,,0.27285373262701,0.314558854785578,1,6
"00-0040129","Emeka Egbuka",2026,1,"RECEIVING","position_group_target_share","EXPANDING","TENTATIVE","LOW",0.428571428571429,0.296720420913631,,0.296720420913631,0.131851007657798,1,6
"00-0040131","Kyle Williams",2026,1,"PARTICIPATION","snap_share_derived","CONTRACTING","TENTATIVE","MEDIUM",0.169014084507042,0.325234746376403,,0.325234746376403,-0.156220661869361,1,12
"00-0040134","Pat Bryant",2026,1,"PARTICIPATION","snap_share_derived","EXPANDING","TENTATIVE","MEDIUM",0.6,0.357563979190958,,0.357563979190958,0.242436020809042,1,30
"00-0040134","Pat Bryant",2026,1,"RECEIVING","air_yards_share","EXPANDING","TENTATIVE","LOW",0.271739130434783,0.176889911241995,,0.176889911241995,0.0948492191927872,1,6
"00-0040134","Pat Bryant",2026,1,"RECEIVING","position_group_target_share","EXPANDING","TENTATIVE","LOW",0.4,0.191632468292087,,0.191632468292087,0.208367531707913,1,6
"00-0040134","Pat Bryant",2026,1,"RECEIVING","target_share","EXPANDING","TENTATIVE","LOW",0.171428571428571,0.0836421050647351,,0.0836421050647351,0.0877864663638363,1,6
"00-0040138","Jaylin Noel",2026,1,"PARTICIPATION","snap_share_derived","EXPANDING","TENTATIVE","MEDIUM",0.30379746835443,0.14883592417141,,0.14883592417141,0.154961544183021,1,24
"00-0040138","Jaylin Noel",2026,1,"RETURNS","kick_return_opportunity_share","CONTRACTING","TENTATIVE","LOW",0.375,0.801006326071328,,0.801006326071328,-0.426006326071328,1,3
