"season","week","game_id","gsis_id","sleeper_id","pfr_id","full_name","position","team","opponent","offensive_snaps","team_offensive_plays","snap_share_source","snap_share_derived","pass_play_personnel","team_pass_plays","route_participation","route_participation_definition","route_participation_reliability","targets","team_pass_att","target_share","receptions","air_yards","team_air_yards","air_yards_share","aDOT","targets_per_route_run","carries","team_rush_att","rush_share","position_group_rush_share","position_group_target_share","dropbacks","qb_scrambles","designed_rushes","red_zone_targets","red_zone_carries","inside_10_targets","inside_10_carries","goal_line_carries","end_zone_targets","team_rz_pass_att","team_rz_rush_att","rz_target_share","rz_carry_share","third_down_targets","third_down_carries","two_minute_targets","two_minute_carries","kick_returns","kick_return_yards","punt_returns","punt_return_yards","team_kick_returns","team_punt_returns","kick_return_opportunity_share","punt_return_opportunity_share","offense_domain_active","return_domain_active","team_offensive_plays_neutral_score_differential","overtime","prior_game_team","team_changed_since_prior_game"
2026,1,"2026_01_GB_MIN","00-0036322","6794","JeffJu00","Justin Jefferson","WR","MIN","GB",60,62,0.92,0.967741935483871,,34,,"pass_play_personnel_share","PROXY_PERSONNEL_PRESENCE",10,34,0.294117647058824,8,80,176,0.454545454545455,8,,0,28,0,,0.769230769230769,0,0,0,3,0,2,0,0,1,7,8,0.428571428571429,0,4,0,0,0,0,0,0,0,5,1,0,0,TRUE,FALSE,-5.9516129032258,FALSE,,FALSE
2026,1,"2026_01_ATL_PIT","00-0036323","6807","QueePa00","Patrick Queen","LB","PIT","ATL",0,65,0,0,,47,,"pass_play_personnel_share","UNRELIABLE_NON_ELIGIBLE_POSITION",0,47,0,0,0,407,0,,,0,18,0,,,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,3,4,0,0,FALSE,FALSE,3.12307692307692,FALSE,,FALSE
2026,1,"2026_01_SF_LA","00-0036329","6855","DaviAs00","Ashtyn Davis","DB","SF","LAR",0,65,0,0,,37,,"pass_play_personnel_share","UNRELIABLE_NON_ELIGIBLE_POSITION",0,37,0,0,0,149,0,,,0,28,0,,,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,2,3,0,0,FALSE,FALSE,4.13846153846154,FALSE,,FALSE
2026,1,"2026_01_ARI_LAC","00-0036331","6847","DuveDe00","Devin Duvernay","WR","ARI","LAC",0,72,0,0,,42,,"pass_play_personnel_share","PROXY_PERSONNEL_PRESENCE",0,42,0,0,0,283,0,,,0,30,0,,0,0,0,0,0,0,0,0,0,0,8,6,0,0,0,0,0,0,3,69,2,0,3,2,1,1,FALSE,TRUE,2.86111111111111,FALSE,,FALSE
2026,1,"2026_01_ATL_PIT","00-0036333","7113","HighAl02","Alex Highsmith","LB","PIT","ATL",0,65,0,0,,47,,"pass_play_personnel_share","UNRELIABLE_NON_ELIGIBLE_POSITION",0,47,0,0,0,407,0,,,0,18,0,,,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,3,4,0,0,FALSE,FALSE,3.12307692307692,FALSE,,FALSE
2026,1,"2026_01_NO_DET","00-0036335","6868","WonnDJ00","D.J. Wonnum","LB","DET","NO",0,77,0,0,,41,,"pass_play_personnel_share","UNRELIABLE_NON_ELIGIBLE_POSITION",0,41,0,0,0,207,0,,,0,36,0,,,0,0,0,0,0,0,0,0,0,8,11,0,0,0,0,0,0,0,0,0,0,4,4,0,0,FALSE,FALSE,4.55844155844156,TRUE,,FALSE
2026,1,"2026_01_CHI_CAR","00-0036337","6858","LyncJa00","James Lynch","DL","CHI","CAR",0,75,0,0,,40,,"pass_play_personnel_share","UNRELIABLE_NON_ELIGIBLE_POSITION",0,40,0,0,0,319,0,,,0,35,0,,,0,0,0,0,0,0,0,0,0,7,10,0,0,0,0,0,0,0,0,0,0,4,1,0,0,FALSE,FALSE,3.50666666666667,FALSE,,FALSE
2026,1,"2026_01_ARI_LAC","00-0036338","6941","DyexTr00","Troy Dye","LB","LAC","ARI",0,55,0,0,,39,,"pass_play_personnel_share","UNRELIABLE_NON_ELIGIBLE_POSITION",0,39,0,0,0,273,0,,,0,16,0,,,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,0,0,0,0,4,1,0,0,FALSE,FALSE,-5.67272727272727,FALSE,,FALSE
2026,1,"2026_01_SF_LA","00-0036341","6864","KareKh00","Khalid Kareem","DL","SF","LAR",0,65,0,0,,37,,"pass_play_personnel_share","UNRELIABLE_NON_ELIGIBLE_POSITION",0,37,0,0,0,149,0,,,0,28,0,,,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,2,3,0,0,FALSE,FALSE,4.13846153846154,FALSE,,FALSE
2026,1,"2026_01_GB_MIN","00-0036348","6901","MeteJo00","Josh Metellus","DB","MIN","GB",0,62,0,0,,34,,"pass_play_personnel_share","UNRELIABLE_NON_ELIGIBLE_POSITION",0,34,0,0,0,176,0,,,0,28,0,,,0,0,0,0,0,0,0,0,0,7,8,0,0,0,0,0,0,0,0,0,0,5,1,0,0,FALSE,FALSE,-5.9516129032258,FALSE,,FALSE
