"gsis_id","depth_bin","field_third","targets","receptions","catch_rate","air_yards","yards_per_target","epa_per_target_raw","success_rate","td_rate","explosive_rate","first_down_rate","yac","targets_total","targets_charted","targets_uncharted","epa_overall","target_share_of_self","epa_per_target","evidence_class","output_class","window"
"00-0011754","DEEP","RIGHT",2,1,0.5,36,27.5,1.59887993130891,0.5,0,0.5,0.5,5,50,50,0,0.229609481959535,0.04,0.273779496454677,"INSUFFICIENT","OBSERVED","career"
"00-0015754","BEHIND_LOS","LEFT",0,0,,,,,,,,,,80,80,0,0.344131103963308,0,0.344131103963308,"INSUFFICIENT","OBSERVED","career"
"00-0015754","BEHIND_LOS","MIDDLE",0,0,,,,,,,,,,80,80,0,0.344131103963308,0,0.344131103963308,"INSUFFICIENT","OBSERVED","career"
"00-0015754","BEHIND_LOS","RIGHT",1,1,1,-2,3,-0.365659818518907,0,0,0,0,5,80,80,0,0.344131103963308,0.0125,0.332495187201305,"INSUFFICIENT","OBSERVED","career"
"00-0015754","SHORT","LEFT",13,10,0.769230769230769,5.38461538461539,5.61538461538461,0.229698595002701,0.615384615384615,0,0,0.230769230769231,2.1,80,80,0,0.344131103963308,0.1625,0.323752711956625,"INSUFFICIENT","OBSERVED","career"
"00-0015754","SHORT","MIDDLE",15,11,0.733333333333333,4.06666666666667,7.26666666666667,0.363808571248471,0.666666666666667,0.0666666666666667,0.133333333333333,0.533333333333333,5.81818181818182,80,80,0,0.344131103963308,0.1875,0.348066597420341,"WEAK","OBSERVED","career"
"00-0015754","SHORT","RIGHT",24,20,0.833333333333333,4.16666666666667,6.45833333333333,0.381866118157632,0.625,0.0416666666666667,0.0416666666666667,0.5,3.7,80,80,0,0.344131103963308,0.3,0.354912536590258,"WEAK","OBSERVED","career"
"00-0015754","INTERMEDIATE","LEFT",6,5,0.833333333333333,12.3333333333333,11.5,1.00664510083152,0.833333333333333,0,0.333333333333333,0.833333333333333,1,80,80,0,0.344131103963308,0.075,0.404359649133146,"INSUFFICIENT","OBSERVED","career"
"00-0015754","INTERMEDIATE","MIDDLE",4,3,0.75,15,12,0.587318145105036,0.5,0,0.5,0.5,1.66666666666667,80,80,0,0.344131103963308,0.05,0.359330294034666,"INSUFFICIENT","OBSERVED","career"
"00-0015754","INTERMEDIATE","RIGHT",4,4,1,15,20.75,1.26276307739317,1,0,0.75,1,5.75,80,80,0,0.344131103963308,0.05,0.401545602302675,"INSUFFICIENT","OBSERVED","career"
"00-0015754","DEEP","LEFT",2,1,0.5,25.5,14.5,0.667888437048532,0.5,0,0.5,0.5,9,80,80,0,0.344131103963308,0.025,0.354574888901541,"INSUFFICIENT","OBSERVED","career"
"00-0015754","DEEP","MIDDLE",3,1,0.333333333333333,29,12.6666666666667,0.605609033373185,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,2,80,80,0,0.344131103963308,0.0375,0.356582433935207,"INSUFFICIENT","OBSERVED","career"
"00-0015754","DEEP","RIGHT",8,2,0.25,25.25,6.5,-0.788081059145043,0.25,0.25,0.25,0.25,0,80,80,0,0.344131103963308,0.1,0.210929673009385,"INSUFFICIENT","OBSERVED","career"
"00-0020337","BEHIND_LOS","LEFT",22,15,0.681818181818182,-2.77272727272727,1.54545454545455,-0.609326051480655,0.181818181818182,0,0,0.0454545454545455,5.46666666666667,556,556,0,0.267609529583259,0.039568345323741,0.0323341297856232,"WEAK","OBSERVED","career"
"00-0020337","BEHIND_LOS","MIDDLE",1,0,0,-7,0,-0.50153685756959,0,0,0,0,,556,556,0,0.267609529583259,0.00179856115107914,0.255000572416819,"INSUFFICIENT","OBSERVED","career"
"00-0020337","BEHIND_LOS","RIGHT",9,6,0.666666666666667,-3.77777777777778,0.888888888888889,-0.581956028569645,0.222222222222222,0,0,0.111111111111111,3.83333333333333,556,556,0,0.267609529583259,0.0161870503597122,0.15679663069375,"INSUFFICIENT","OBSERVED","career"
"00-0020337","SHORT","LEFT",93,62,0.666666666666667,5.21505376344086,5.97849462365591,0.033048464463441,0.548387096774194,0.021505376344086,0.0537634408602151,0.311827956989247,3.90322580645161,556,556,0,0.267609529583259,0.16726618705036,0.125033195882977,"MODERATE","OBSERVED","career"
"00-0020337","SHORT","MIDDLE",64,50,0.78125,4.90625,6.875,0.274970579969345,0.578125,0.015625,0.109375,0.25,4.04,556,556,0,0.267609529583259,0.115107913669065,0.271408781395432,"MODERATE","OBSERVED","career"
"00-0020337","SHORT","RIGHT",114,68,0.596491228070175,5.19298245614035,5.16666666666667,-0.00019184248438686,0.464912280701754,0.0263157894736842,0.0614035087719298,0.31578947368421,3.63235294117647,556,556,0,0.267609529583259,0.205035971223022,0.0921534582285944,"STRONG","OBSERVED","career"
"00-0020337","INTERMEDIATE","LEFT",57,34,0.596491228070175,13.2982456140351,9.24561403508772,0.393857002659117,0.578947368421053,0.0350877192982456,0.280701754385965,0.56140350877193,2.11764705882353,556,556,0,0.267609529583259,0.102517985611511,0.329114708774061,"MODERATE","OBSERVED","career"
