"gsis_id","bucket","plays","completion_pct","epa_per_play","success_rate","air_yards","yac","explosive_rate","sack_rate","scramble_rate","turnover_rate","td_rate","time_to_throw","n_opp","deep_share","behind_los_share","read_share","evidence_class","availability","source","family","window"
"00-0019596","CHECKDOWN",106,0.80188679245283,0.01919035528075,0.481132075471698,1.25471698113208,5.87058823529412,0.0283018867924528,0,0,0,0.00943396226415094,2.69459433962264,14,0,0.264150943396226,0.146611341632089,"MODERATE","DESCRIPTIVE_ONLY","ftn","qb_progression","career"
"00-0019596","DESIGNED",73,0.863013698630137,-0.055708952390519,0.424657534246575,-2.7945205479452,8.57142857142857,0.0273972602739726,0,0,0,0.0136986301369863,1.58094520547945,13,0,0.863013698630137,0.100968188105118,"MODERATE","DESCRIPTIVE_ONLY","ftn","qb_progression","career"
"00-0019596","FIRST_READ",440,0.645454545454546,0.18908568716501,0.513636363636364,9.21136363636363,3.73943661971831,0.125,0,0,0.0113636363636363,0.0431818181818182,2.36505227272727,14,0.138636363636364,0.0863636363636364,0.608575380359613,"STRONG","DESCRIPTIVE_ONLY","ftn","qb_progression","career"
"00-0019596","SCRAMBLE_DRILL",13,0.153846153846154,-1.01090540790013,0.0769230769230769,10,1,0,0,0,0.0769230769230769,0.0769230769230769,4.22223076923077,6,0.0769230769230769,0,0.0179806362378976,"INSUFFICIENT","DESCRIPTIVE_ONLY","ftn","qb_progression","career"
"00-0019596","SECOND_READ",91,0.615384615384615,0.292077660258555,0.538461538461539,9.95604395604396,3.125,0.142857142857143,0,0,0.021978021978022,0.032967032967033,2.94715384615385,12,0.153846153846154,0.032967032967033,0.125864453665284,"MODERATE","DESCRIPTIVE_ONLY","ftn","qb_progression","career"
"00-0022942","CHECKDOWN",10,0.8,-0.136941927514272,0.3,-0.2,5.75,0,0,0,0,0,2.61,3,0,0.5,0.103092783505155,"INSUFFICIENT","DESCRIPTIVE_ONLY","ftn","qb_progression","career"
"00-0022942","DESIGNED",10,0.9,0.0743996451434213,0.5,-3.7,7.11111111111111,0,0,0,0,0,1.43,3,0,1,0.103092783505155,"INSUFFICIENT","DESCRIPTIVE_ONLY","ftn","qb_progression","career"
"00-0022942","FIRST_READ",63,0.571428571428571,0.0216271347774102,0.492063492063492,10.5079365079365,4.08333333333333,0.19047619047619,0,0,0.0317460317460318,0.0476190476190476,2.3031746031746,3,0.111111111111111,0.0634920634920635,0.649484536082474,"WEAK","DESCRIPTIVE_ONLY","ftn","qb_progression","career"
"00-0022942","PRE_SNAP_OR_ZERO",5,0,-2.06234788247384,0,22,,0,0.8,0,0,0,1.8,3,1,0,0.0515463917525773,"INSUFFICIENT","DESCRIPTIVE_ONLY","ftn","qb_progression","career"
"00-0022942","SCRAMBLE_DRILL",3,0.333333333333333,-0.73485829308629,0,4.5,6,0,0.333333333333333,0,0,0,4.1,3,0,0,0.0309278350515464,"INSUFFICIENT","DESCRIPTIVE_ONLY","ftn","qb_progression","career"
"00-0022942","SECOND_READ",6,0.666666666666667,0.0972820095194038,0.333333333333333,10.5,2,0,0,0,0.166666666666667,0.166666666666667,2.63333333333333,2,0.333333333333333,0.166666666666667,0.0618556701030928,"INSUFFICIENT","DESCRIPTIVE_ONLY","ftn","qb_progression","career"
"00-0023459","CHECKDOWN",253,0.770750988142292,0.00162969643035722,0.41897233201581,-0.17391304347826,7.14358974358974,0.0474308300395257,0,0,0,0.0118577075098814,2.94378260869565,26,0,0.391304347826087,0.150954653937947,"STRONG","DESCRIPTIVE_ONLY","ftn","qb_progression","career"
"00-0023459","DESIGNED",204,0.901960784313726,-0.069818515833596,0.450980392156863,-2.34313725490196,8.46739130434783,0.0588235294117647,0,0,0,0.0245098039215686,1.57974509803922,25,0.00490196078431373,0.843137254901961,0.121718377088305,"STRONG","DESCRIPTIVE_ONLY","ftn","qb_progression","career"
"00-0023459","FIRST_READ",857,0.633605600933489,0.198995863993981,0.519253208868145,9.95449241540257,5.05524861878453,0.157526254375729,0,0,0.0315052508751459,0.0560093348891482,2.20905134189032,27,0.165694282380397,0.0688448074679113,0.511336515513127,"STRONG","DESCRIPTIVE_ONLY","ftn","qb_progression","career"
"00-0023459","PRE_SNAP_OR_ZERO",94,0,-1.4903298879983,0.0106382978723404,5.33333333333333,,0,0.74468085106383,0,0,0,3.2392,21,0.125,0.375,0.0560859188544153,"MODERATE","DESCRIPTIVE_ONLY","ftn","qb_progression","career"
"00-0023459","SCRAMBLE_DRILL",135,0.414814814814815,0.206583122284329,0.4,12.8814814814815,4.19642857142857,0.214814814814815,0,0,0.0222222222222222,0.0888888888888889,4.98253731343284,26,0.185185185185185,0.0592592592592593,0.0805489260143198,"STRONG","DESCRIPTIVE_ONLY","ftn","qb_progression","career"
"00-0023459","SECOND_READ",133,0.496240601503759,0.158060478071067,0.383458646616541,10.7894736842105,3.10606060606061,0.142857142857143,0,0,0,0.075187969924812,3.10307518796992,25,0.165413533834586,0.0526315789473684,0.0793556085918854,"STRONG","DESCRIPTIVE_ONLY","ftn","qb_progression","career"
"00-0026143","CHECKDOWN",82,0.670731707317073,-0.424006059611136,0.207317073170732,0.0617283950617286,4.89090909090909,0.0365853658536585,0.0121951219512195,0,0.0121951219512195,0,2.88433333333333,10,0,0.395061728395062,0.181015452538631,"MODERATE","DESCRIPTIVE_ONLY","ftn","qb_progression","career"
"00-0026143","DESIGNED",34,0.88235294117647,-0.439136936935756,0.441176470588235,-3.11764705882353,8.6,0.0588235294117647,0,0,0.0294117647058823,0,1.78538235294118,10,0,0.941176470588235,0.0750551876379691,"WEAK","DESCRIPTIVE_ONLY","ftn","qb_progression","career"
