"gsis_id","depth_bin","field_third","attempts","completions","completion_pct","air_yards","yards_per_attempt","epa_per_attempt_raw","success_rate","td_rate","int_rate","explosive_rate","first_down_rate","yac","attempts_total","attempts_charted","attempts_uncharted","epa_overall","attempt_share","epa_per_attempt","evidence_class","output_class","window"
"00-0020531","SHORT","LEFT",985,734,0.745177664974619,4.08324873096447,6.07614213197969,0.208447827371019,0.568527918781726,0.0538071065989848,0.0071065989847716,0.0446700507614213,0.346192893401015,4.02179836512262,5043,5036,7,0.255817752408067,0.195591739475774,0.211167631679366,"STRONG","OBSERVED","career"
"00-0020531","SHORT","MIDDLE",622,460,0.739549839228296,4.40353697749196,6.44051446945338,0.112257780563196,0.546623794212219,0.0385852090032154,0.0209003215434084,0.0691318327974277,0.353697749196141,4.25217391304348,5043,5036,7,0.255817752408067,0.12351072279587,0.124887690109666,"STRONG","OBSERVED","career"
"00-0020531","SHORT","RIGHT",1052,760,0.722433460076046,3.79657794676806,5.4287072243346,0.112614274237932,0.535171102661597,0.0636882129277566,0.0114068441064639,0.0389733840304183,0.331749049429658,3.63947368421053,5043,5036,7,0.255817752408067,0.208895949166005,0.120341080614018,"STRONG","OBSERVED","career"
"00-0020531","INTERMEDIATE","LEFT",371,215,0.579514824797844,14.0619946091644,10.5876010781671,0.470006594642768,0.584905660377359,0.0350404312668464,0.0215633423180593,0.315363881401617,0.547169811320755,4.22325581395349,5043,5036,7,0.255817752408067,0.073669579030977,0.440189122405919,"STRONG","OBSERVED","career"
"00-0020531","INTERMEDIATE","MIDDLE",310,221,0.712903225806452,13.7451612903226,12.7258064516129,0.755430781798601,0.693548387096774,0.0709677419354839,0.0322580645161291,0.393548387096774,0.670967741935484,4.19457013574661,5043,5036,7,0.255817752408067,0.0615567911040508,0.674412452708244,"STRONG","OBSERVED","career"
"00-0020531","INTERMEDIATE","RIGHT",353,217,0.614730878186969,14.0254957507082,10.6118980169972,0.504236501846054,0.603399433427762,0.0623229461756374,0.0424929178470255,0.328611898016997,0.592067988668555,3.31336405529954,5043,5036,7,0.255817752408067,0.0700953137410643,0.46814661088654,"STRONG","OBSERVED","career"
"00-0020531","DEEP","LEFT",205,86,0.419512195121951,28.2780487804878,14.1073170731707,0.530019075839831,0.419512195121951,0.112195121951219,0.0634146341463414,0.419512195121951,0.419512195121951,7.94186046511628,5043,5036,7,0.255817752408067,0.0407069102462272,0.467935757326979,"STRONG","OBSERVED","career"
"00-0020531","DEEP","MIDDLE",120,57,0.475,29.0583333333333,16.5,0.69568482340451,0.475,0.1,0.0833333333333333,0.475,0.475,6,5043,5036,7,0.255817752408067,0.0238284352660842,0.549062466405695,"STRONG","OBSERVED","career"
"00-0020531","DEEP","RIGHT",198,92,0.464646464646465,29.4242424242424,15.9949494949495,0.8701177697382,0.464646464646465,0.141414141414141,0.0303030303030303,0.464646464646465,0.464646464646465,5.98913043478261,5043,5036,7,0.255817752408067,0.0393169181890389,0.727257300591657,"STRONG","OBSERVED","career"
"00-0020679","BEHIND_LOS","LEFT",12,11,0.916666666666667,-3.16666666666667,4.75,0.0956619983691954,0.5,0,0,0.0833333333333333,0.25,8.18181818181818,283,283,0,0.0699448232773826,0.0424028268551237,0.0742310191260181,"INSUFFICIENT","OBSERVED","career"
"00-0020679","BEHIND_LOS","MIDDLE",2,1,0.5,-4.5,1,-3.16903092921712,0,0,0.5,0,0,7,283,283,0,0.0699448232773826,0.00706713780918728,-0.0345382655127625,"INSUFFICIENT","OBSERVED","career"
"00-0020679","BEHIND_LOS","RIGHT",23,17,0.739130434782609,-2.78260869565217,6.08695652173913,0.0655579574029062,0.434782608695652,0.0434782608695652,0,0.0434782608695652,0.304347826086957,10.9411764705882,283,283,0,0.0699448232773826,0.0812720848056537,0.0687291857459012,"WEAK","OBSERVED","career"
