"season","team","starting_qb","prior_qb","starting_qb_changed","coordinator_known","scheme_reset_hint","prior_weight_multiplier"
2012,"TEN","00-0027946",,FALSE,FALSE,FALSE,1
2013,"TEN","00-0023682","00-0027946",TRUE,FALSE,TRUE,0.6
2014,"TEN","00-0024296","00-0023682",TRUE,FALSE,TRUE,0.6
2015,"TEN","00-0032268","00-0024296",TRUE,FALSE,TRUE,0.6
2016,"TEN","00-0032268","00-0032268",FALSE,FALSE,FALSE,1
2017,"TEN","00-0032268","00-0032268",FALSE,FALSE,FALSE,1
2018,"TEN","00-0032268","00-0032268",FALSE,FALSE,FALSE,1
2019,"TEN","00-0029701","00-0032268",TRUE,FALSE,TRUE,0.6
2020,"TEN","00-0029701","00-0029701",FALSE,FALSE,FALSE,1
2021,"TEN","00-0029701","00-0029701",FALSE,FALSE,FALSE,1
2022,"TEN","00-0029701","00-0029701",FALSE,FALSE,FALSE,1
2023,"TEN","00-0039152","00-0029701",TRUE,FALSE,TRUE,0.6
2024,"TEN","00-0039152","00-0039152",FALSE,FALSE,FALSE,1
2025,"TEN","00-0040676","00-0039152",TRUE,FALSE,TRUE,0.6
2012,"WAS","00-0029665",,FALSE,FALSE,FALSE,1
2013,"WAS","00-0029665","00-0029665",FALSE,FALSE,FALSE,1
2014,"WAS","00-0029665","00-0029665",FALSE,FALSE,FALSE,1
2015,"WAS","00-0029604","00-0029665",TRUE,FALSE,TRUE,0.6
2016,"WAS","00-0029604","00-0029604",FALSE,FALSE,FALSE,1
2017,"WAS","00-0029604","00-0029604",FALSE,FALSE,FALSE,1
2018,"WAS","00-0023436","00-0029604",TRUE,FALSE,TRUE,0.6
2019,"WAS","00-0028986","00-0023436",TRUE,FALSE,TRUE,0.6
2020,"WAS","00-0023436","00-0028986",TRUE,FALSE,TRUE,0.6
2021,"WAS","00-0031800","00-0023436",TRUE,FALSE,TRUE,0.6
2022,"WAS","00-0032950","00-0031800",TRUE,FALSE,TRUE,0.6
2023,"WAS","00-0037077","00-0032950",TRUE,FALSE,TRUE,0.6
2024,"WAS","00-0039910","00-0037077",TRUE,FALSE,TRUE,0.6
2025,"WAS","00-0032268","00-0039910",TRUE,FALSE,TRUE,0.6
