"gsis_id","n","left_pct","middle_pct","right_pct","behind_los_pct","short_pct","intermediate_pct","deep_pct","deep_left_pct","deep_middle_pct","deep_right_pct","intermediate_middle_pct","short_middle_pct","left_pct_vs_league","middle_pct_vs_league","right_pct_vs_league","behind_los_pct_vs_league","short_pct_vs_league","intermediate_pct_vs_league","deep_pct_vs_league","deep_left_pct_vs_league","deep_middle_pct_vs_league","deep_right_pct_vs_league","intermediate_middle_pct_vs_league","short_middle_pct_vs_league","window"
"00-0000865",70,0.385714285714286,0.271428571428571,0.342857142857143,0.185714285714286,0.471428571428571,0.171428571428571,0.171428571428571,0.0285714285714286,0.0714285714285714,0.0714285714285714,0.0571428571428571,0.128571428571429,0.0159333383475441,0.0448973568271898,-0.0608306951747338,0.0336258669456391,-0.042088715062917,-0.0447403208639029,0.0532031689811808,-0.0185895025219201,0.0498703142770534,0.0219223572260475,-0.00610799242398343,0.00105663095181113,"career"
"00-0007091",533,0.369606003752345,0.225140712945591,0.405253283302064,0.144465290806754,0.544090056285178,0.213883677298311,0.0975609756097561,0.0431519699812383,0.0187617260787993,0.0356472795497186,0.0562851782363977,0.133208255159475,-0.000174943614396461,-0.00139050165579066,0.00156544527018709,-0.00762312796189238,0.0305727697936898,-0.0022852149941629,-0.0206644268376346,-0.00400896111211037,-0.0027965310727188,-0.0138589346528054,-0.00696567133044283,0.00569345753985726,"career"
"00-0010346",2163,0.415626444752658,0.208044382801664,0.376329172445677,0.0966250577901063,0.558945908460472,0.220064724919094,0.124364308830328,0.0494683310217291,0.0208044382801664,0.0540915395284327,0.0494683310217291,0.129449838187702,0.0458454973859167,-0.0184868317997173,-0.0273586655861994,-0.0554633609785403,0.0454286219689831,0.00389583262661949,0.00613890638293757,0.00230739992838043,-0.000753818871351616,0.00458532532590876,-0.0137825185451115,0.00193504056808483,"career"
"00-0019596",6707,0.401222603250335,0.258834053973461,0.339943342776204,0.141941255404801,0.544207544356642,0.19308185477859,0.120769345459967,0.047562248397197,0.0268376323244372,0.0463694647383331,0.0726107052333383,0.148948859400626,0.0314416558835938,0.0323028393720789,-0.0637444952556727,-0.0101471633638456,0.0306902578651539,-0.0230870375138848,0.00254394301257653,0.000401317303848306,0.0052793751729191,-0.00313674946419088,0.00935985566649773,0.0214340617810088,"career"
"00-0020245",673,0.465081723625557,0.175334323922734,0.359583952451709,0.151560178306092,0.462109955423477,0.24368499257058,0.142644873699851,0.062407132243685,0.0163447251114413,0.0638930163447251,0.0549777117384844,0.0861812778603269,0.0953007762588156,-0.0511968906786476,-0.0441038855801679,-0.00052824046255448,-0.0514073310680114,0.0275161002781051,0.0244194712524607,0.0152462011503363,-0.00521353204007674,0.0143868021422011,-0.00827313782835618,-0.0413335197592905,"career"
"00-0020531",5036,0.388403494837172,0.215845909451946,0.395750595710882,0.162827640984909,0.527998411437649,0.205321683876092,0.10385226370135,0.0407069102462272,0.0238284352660842,0.0393169181890389,0.0615567911040508,0.12351072279587,0.0186225474704307,-0.0106853051494357,-0.00793724232099502,0.0107392222162621,0.0144811249461605,-0.0108472084163822,-0.0143731387460404,-0.00645402084712149,0.00227017811456614,-0.010189296013485,-0.00169405846278974,-0.00400407482374769,"career"
"00-0020679",283,0.254416961130742,0.240282685512367,0.50530035335689,0.130742049469965,0.547703180212014,0.180212014134276,0.141342756183746,0.0424028268551237,0.03886925795053,0.0600706713780919,0.0424028268551237,0.151943462897526,-0.115363986236,0.0137514709109858,0.101612515325014,-0.0213463692986819,0.0341858937205257,-0.0359568781581987,0.0231173537363549,-0.00475810423822497,0.017311000799012,0.0105644571755679,-0.0208480227117169,0.0244286652779091,"career"
"00-0021206",1506,0.373173970783533,0.221115537848606,0.405710491367862,0.138114209827357,0.52058432934927,0.221115537848606,0.120185922974768,0.049136786188579,0.0159362549800797,0.0551128818061089,0.0677290836653386,0.130146082337317,0.00339302341679087,-0.00541567675277607,0.00202265333598517,-0.0139742089412894,0.00706704285778115,0.00494664555613122,0.00196052052737693,0.00197585509523036,-0.00562200217143837,0.00560666760358493,0.00447823409849807,0.00263128471769997,"career"
"00-0021429",2747,0.347287950491445,0.275937386239534,0.376774663269021,0.116490717145977,0.469603203494722,0.286130323989807,0.127775755369494,0.0469603203494722,0.0320349472151438,0.048780487804878,0.0855478704040772,0.149617764834365,-0.0224929968752964,0.0494061716381524,-0.0269131747628559,-0.0355977016226692,-0.0439140829967669,0.0699614316973327,0.00955035292210331,-0.000200610743876499,0.0104766900636257,-0.000725726397645919,0.0222970208372366,0.0221029672147473,"career"
"00-0021678",1738,0.359608745684695,0.267548906789413,0.372842347525892,0.111047180667434,0.560989643268124,0.220368239355581,0.107594936708861,0.0391254315304948,0.0178365937859609,0.0506329113924051,0.0822784810126582,0.158227848101266,-0.0101722016820466,0.0410176921880315,-0.0308454905059848,-0.0410412381012128,0.0474723567766359,0.00419934706310679,-0.0106304657385299,-0.00803549956285383,-0.00372166336555718,0.00112669718988109,0.0190276314458176,0.0307130504816484,"career"
