"depth_bin","field_third","attempt_share","completion_pct","air_yards","yards_per_attempt","epa_per_attempt","success_rate","td_rate","int_rate","explosive_rate","first_down_rate","yac","window","entity"
"BEHIND_LOS","LEFT",0.0672075176693949,0.82967359050445,-3.32516320474781,5.20178041543031,-0.0797004371004112,0.397685459940657,0.0192878338278936,0.00629080118694331,0.0724035608308605,0.228367952522259,9.49760354817944,"career","LEAGUE_QB"
"BEHIND_LOS","MIDDLE",0.0142073102634056,0.681358787198202,-3.36749017405951,3.78270634475012,-0.321315349578955,0.320887142055024,0.0395845030881527,0.0241437394722066,0.0558674901740595,0.201010668163953,8.61928306551298,"career","LEAGUE_QB"
"BEHIND_LOS","RIGHT",0.0706735908358461,0.810429482476437,-3.31107850330151,4.72566171905861,-0.143028215078669,0.367966589536658,0.0177775269484736,0.00643377165754281,0.0623059992098877,0.211072859642193,9.04818941504179,"career","LEAGUE_QB"
"SHORT","LEFT",0.182262001627339,0.69620973389355,4.14001225490199,5.68060661764705,0.0821517370638285,,0.0424107142857145,0.0134585084033615,0.0511642156862745,0.319480917366948,4.1446847299931,"career","LEAGUE_QB"
"SHORT","MIDDLE",0.127514797619617,0.719799812324052,4.55849233656552,6.53759774788865,0.150896874176209,0.546793869252424,0.0451986237097278,0.018923991241789,0.0670003127932437,0.346762589928058,4.52059794889622,"career","LEAGUE_QB"
"SHORT","RIGHT",0.203740487244532,0.674595250680299,4.07035884183947,5.42996417454631,0.0419635871031288,0.496270629000996,0.0428143536735771,0.0134100741958847,0.0489810301286192,0.304653393629725,4.10410076327018,"career","LEAGUE_QB"
"INTERMEDIATE","LEFT",0.0731504969766588,0.519465648854962,13.9198473282443,8.90501635768813,0.318640484558634,0.514994547437295,0.0427480916030534,0.0299890948745913,0.267829880043621,0.489694656488549,3.33221370840769,"career","LEAGUE_QB"
"INTERMEDIATE","MIDDLE",0.0632508495668406,0.63084878294867,13.6937192584185,11.3012990288813,0.561024843636543,0.620506999621642,0.046348846008324,0.0444570563753308,0.360512044393997,0.589986126876025,4.27321803458963,"career","LEAGUE_QB"
"INTERMEDIATE","RIGHT",0.0797675457489749,0.497874893744688,13.838791939597,8.53067653382672,0.266873627639807,0.493974698734936,0.0430521526076315,0.0320516025801291,0.251362568128406,0.467573378668933,3.34859897559506,"career","LEAGUE_QB"
"DEEP","LEFT",0.0471609310933487,0.339648173207036,28.8656123139378,11.2634472259811,0.316008396936896,0.342100811907984,0.0752706359945874,0.0518437077131259,0.339563599458728,0.338717861975643,5.54755976095618,"career","LEAGUE_QB"
"DEEP","MIDDLE",0.0215582571515181,0.401665124884366,30.9154486586494,14.0978723404255,0.499202685825309,0.401480111008326,0.10786308973173,0.10527289546716,0.401480111008326,0.398704902867716,6.23998157531091,"career","LEAGUE_QB"
"DEEP","RIGHT",0.049506214202524,0.340718659361908,29.1158556235901,11.6195617144698,0.357098789479971,0.344585884627779,0.0812922977763453,0.0547051240734772,0.340718659361908,0.339671285852399,6.07685031922442,"career","LEAGUE_QB"
"BEHIND_LOS","LEFT",0.0809447933264598,0.81357109773043,-3.61741547012506,4.6878184344604,-0.141364097848136,0.372626215840667,0.015748031496063,0.00440018527095868,0.0578971746178786,0.204724409448819,9.21406205522346,"recent","LEAGUE_QB"
"BEHIND_LOS","MIDDLE",0.0164401537163745,0.598631698973774,-3.75712656784493,3.05473204104903,-0.422579379951283,0.277080957810718,0.031927023945268,0.023945267958951,0.0387685290763968,0.169897377423033,8.31047619047619,"recent","LEAGUE_QB"
"BEHIND_LOS","RIGHT",0.0849751616833818,0.784028237370395,-3.54952570041915,4.51819986763733,-0.193463783561207,0.349437458636664,0.0178689609530112,0.00772115596735059,0.0558129274211339,0.193690712552394,9.17698368036016,"recent","LEAGUE_QB"
"SHORT","LEFT",0.178667166557316,0.713881019830028,4.19913964956457,5.76266918476549,0.104904891578353,0.5238694785437,0.04480117511279,0.0139544643793935,0.0531948378973875,0.320428076802014,3.99250440917106,"recent","LEAGUE_QB"
"SHORT","MIDDLE",0.112681600899803,0.745633006155382,4.63733155880885,6.60938279820329,0.175065199715605,0.555315255365163,0.0474130760272832,0.0158043586757613,0.0665446681084678,0.346032274164034,4.29651941097724,"recent","LEAGUE_QB"
"SHORT","RIGHT",0.201837098134783,0.699173400204328,4.18565988669081,5.60304634531438,0.0624255688318839,0.506640661279837,0.0443020339927548,0.0135599517042816,0.050338998792607,0.301941116374107,4.02789956157832,"recent","LEAGUE_QB"
"INTERMEDIATE","LEFT",0.072490392726591,0.518748383760021,14.1127489009568,9.02042927333851,0.323571470859209,0.514610809412981,0.0413757434703904,0.031549004396173,0.282906645978795,0.490561158520817,3.3160518444666,"recent","LEAGUE_QB"
"INTERMEDIATE","MIDDLE",0.0597994188771206,0.626645768025079,13.6489028213166,11.1761755485893,0.550269744434623,0.619435736677116,0.0448275862068965,0.0473354231974922,0.340438871473354,0.5858934169279,4.28714357178589,"recent","LEAGUE_QB"
"INTERMEDIATE","RIGHT",0.0763520479895023,0.499877240363369,14.0977166707587,8.74785170635894,0.317483223454675,0.497422047630739,0.0508224895654309,0.0287257549717652,0.267616007856617,0.470169408298551,3.40176817288802,"recent","LEAGUE_QB"
"DEEP","LEFT",0.0481582153903834,0.3491630984819,28.8952899961074,11.5048657065006,0.345301831653066,0.35033086804204,0.0731802257687817,0.0490463215258855,0.348773841961853,0.346827559361619,5.56521739130435,"recent","LEAGUE_QB"
"DEEP","MIDDLE",0.0186709157371825,0.413654618473896,30.7570281124498,14.1736947791165,0.543331579131796,0.414658634538152,0.113453815261044,0.0963855421686746,0.413654618473896,0.410642570281124,6.15291262135922,"recent","LEAGUE_QB"
"DEEP","RIGHT",0.0489830349611023,0.343666283964791,28.574435514734,11.3895905089935,0.327132096070994,0.348641408342901,0.0753922694221202,0.0520474550325297,0.343666283964791,0.340604668962878,5.71937639198218,"recent","LEAGUE_QB"
"BEHIND_LOS","LEFT",0.0708873048261976,0.825640375348719,-3.40654324118692,4.99340603601318,-0.0887607282557548,0.392340857215319,0.0186406289627189,0.0059599289880802,0.0651787978696424,0.22356074055288,9.35278759023192,"current_team","LEAGUE_QB"
"BEHIND_LOS","MIDDLE",0.0146880365313222,0.68421052631579,-3.51223990208079,3.70746634026929,-0.272060492373888,0.33108935128519,0.0458996328029376,0.0189718482252142,0.0507955936352509,0.209914320685434,8.57871198568873,"current_team","LEAGUE_QB"
"BEHIND_LOS","RIGHT",0.0740064900626534,0.806753309850602,-3.39499574881574,4.74201384671444,-0.139117899677354,0.370824729746143,0.0190695979594316,0.00534434592493641,0.0606097412850723,0.207579254220819,9.1725383920506,"current_team","LEAGUE_QB"
"SHORT","LEFT",0.18112847986912,0.704615384615387,4.14977667493797,5.72456575682381,0.105374911813814,,0.0458560794044668,0.0131017369727048,0.0522084367245658,0.325062034739454,4.09078743484998,"current_team","LEAGUE_QB"
"SHORT","MIDDLE",0.124470772245544,0.723766880912833,4.58351989600636,6.4706434606774,0.162360473249652,0.550371921715895,0.0486025853975591,0.018993283743771,0.0653571170650682,0.347873185527551,4.37517461584514,"current_team","LEAGUE_QB"
"SHORT","RIGHT",0.200059327442538,0.689387131560029,4.11174514737598,5.56586987778576,0.0682972728543951,0.508851545650609,0.0460999281092735,0.0132099209202013,0.0500539180445723,0.312320273184759,4.10611393560161,"current_team","LEAGUE_QB"
"INTERMEDIATE","LEFT",0.0743660503204581,0.52749909343648,13.9459688142149,9.05523993714493,0.33283546625215,0.522301462589145,0.0417019219146624,0.0293726580442405,0.271364680285265,0.49546718240058,3.32561869844179,"current_team","LEAGUE_QB"
"INTERMEDIATE","MIDDLE",0.062437638767787,0.627267492081773,13.6310106536136,11.19881946444,0.548318165929651,0.617621652749784,0.0483731644111717,0.0430463576158941,0.34969766772243,0.585084940973222,4.29859995409685,"current_team","LEAGUE_QB"
"INTERMEDIATE","RIGHT",0.0800021573615468,0.504157303370786,13.8839325842697,8.67191011235955,0.289291672154241,0.501348314606742,0.0437078651685396,0.0311235955056182,0.257415730337079,0.475168539325843,3.38065522620904,"current_team","LEAGUE_QB"
"DEEP","LEFT",0.046464174314813,0.348229831688914,28.9765912168698,11.6301025343393,0.358508548523313,0.350164441864964,0.0816405494292901,0.0526213967885471,0.34803637067131,0.347069065583285,5.69055555555556,"current_team","LEAGUE_QB"
"DEEP","MIDDLE",0.0209353960106789,0.401889222842422,30.6595105195363,14.0768570201803,0.498148945716668,0.402747960498067,0.105624731644483,0.103477887505367,0.401889222842422,0.398883641047659,6.31517094017094,"current_team","LEAGUE_QB"
"DEEP","RIGHT",0.0505541722473415,0.344416785206259,28.8666429587482,11.6571834992888,0.377250575023958,0.347083926031294,0.0833926031294453,0.0526315789473686,0.344416785206259,0.34228307254623,6.13164687661331,"current_team","LEAGUE_QB"
