"team","live__plays","live__pass_rate","live__shotgun_rate","live__explosive_pass_rate","target_area__charted_pass","target_area__tgt_left","target_area__tgt_middle","target_area__tgt_right","target_area__tgt_behind_los","target_area__tgt_short","target_area__tgt_intermediate","target_area__tgt_deep","rush_area__charted_rush","rush_area__rush_left","rush_area__rush_middle","rush_area__rush_right","formation__charted_formation","formation__form_shotgun","formation__form_empty","formation__form_under_center","formation__form_singleback","formation__form_i_form","formation__form_pistol","ftn__charted_ftn","ftn__play_action_rate","ftn__motion_rate","ftn__rpo_rate","ftn__screen_rate","ftn__no_huddle_rate","box_faced__mean_box_faced","box_faced__light_box_rate","box_faced__heavy_box_rate","side","window"
"ARI",14725,0.598573853989813,0.647266553480475,0.0736842105263158,8147,0.376212102614459,0.227691174665521,0.39609672272002,0.156990303179084,0.483490855529643,0.237633484718301,0.121885356572972,,,,,6258,0.694311281559604,0.13758389261745,0.044263342921061,0.087248322147651,0.00990731863215085,0.0247682965803771,2581,0.213483146067416,0.352963967454475,0.0247965904688105,0.094149554436265,0.18907400232468,6.57889317889318,0.5003861003861,0.154954954954955,"offense","career"
"ATL",14610,0.594592744695414,0.573511293634497,0.0828199863107461,8111,0.385649118481075,0.239551226729133,0.374799654789792,0.135371717420787,0.520281099741092,0.237208728886697,0.107138453951424,,,,,5940,0.607744107744108,0.0872053872053872,0.0287878787878788,0.141414141414141,0.0676767676767677,0.0636363636363636,2169,0.241585984324574,0.537574919317658,0.0161364684186261,0.0926694329183956,0.168280313508529,6.88036884251395,0.364717301625819,0.234651783547683,"offense","career"
"BAL",14951,0.539495685907297,0.683499431476155,0.0688917129289011,7491,0.297690562007743,0.303430783606995,0.398878654385262,0.134294486717394,0.532772660525965,0.209451341609932,0.123481511146709,,,,,5431,0.647578714785491,0.127416682010679,0.0316700423494752,0.0585527527158903,0.0292763763579451,0.102006996869821,2015,0.232258064516129,0.460049627791563,0.0357320099255583,0.0843672456575682,0.0501240694789082,6.94570625135194,0.341985723556132,0.250919316461172,"offense","career"
"BUF",14662,0.544741508661847,0.657345519028782,0.071750102305279,7436,0.38986013986014,0.198493813878429,0.411646046261431,0.156266810112964,0.48951048951049,0.21785906401291,0.136363636363636,,,,,5688,0.709915611814346,0.0970464135021097,0.0483473980309423,0.0905414908579465,0.0332278481012658,0.0172292545710267,2274,0.20712401055409,0.503078276165347,0.0303430079155673,0.0866314863676341,0.0949868073878628,6.78044638524988,0.409995147986414,0.199175157690442,"offense","career"
"CAR",14488,0.56080894533407,0.685670900055218,0.0732330204307013,7491,0.387398211186757,0.189026832198638,0.423574956614604,0.150580696836203,0.483914030169537,0.245361099986651,0.120144173007609,,,,,5902,0.755676042019654,0.0855642155201627,0.0315147407658421,0.0796340223652999,0.0233819044391732,0.0206709589969502,2271,0.198590929106121,0.316600616468516,0.019374724790841,0.0845442536327609,0.100396301188904,6.92112465787509,0.375466533963673,0.248569295844737,"offense","career"
"CHI",14410,0.564954892435808,0.644344205412908,0.06911866759195,7479,0.359272630030753,0.222623345367028,0.41810402460222,0.163925658510496,0.498328653563311,0.207246958149485,0.130498729776708,,,,,5702,0.743423360224483,0.0796211855489302,0.0517362329007366,0.0831287267625395,0.0229743949491407,0.0164854437039635,2223,0.243364822312191,0.486729644624381,0.0202429149797571,0.12280701754386,0.116959064327485,6.75226882511651,0.427029678685308,0.19401520726024,"offense","career"
"CIN",14453,0.596346779215388,0.670864180446966,0.0743098318688162,7986,0.34610568494866,0.232907588279489,0.420986726771851,0.154770848985725,0.521287252692211,0.213623841723015,0.110318056599048,,,,,6285,0.761972951471758,0.103261734287987,0.0198886237072395,0.0835322195704057,0.0127287191726333,0.0143198090692124,2689,0.158795091111938,0.381182595760506,0.026775753068055,0.078839717367051,0.0420230568984753,6.65279691375034,0.495177734913199,0.158445852852025,"offense","career"
"CLE",14699,0.591876998435268,0.592693380502075,0.074494863596163,7979,0.375736307807996,0.20278230354681,0.421481388645194,0.142248402055395,0.510214312570498,0.221706980824665,0.125830304549442,,,,,6074,0.704807375699704,0.0902206124464933,0.0498847546921304,0.0994402370760619,0.0337504115903852,0.0153111623312479,2577,0.211874272409779,0.390764454792394,0.0120294916569655,0.0830422972448584,0.122235157159488,6.85311016737447,0.394454159380465,0.226330252310767,"offense","career"
"DAL",14869,0.5772412401641,0.580805703140763,0.0759970408231892,8041,0.365253077975376,0.227583633876384,0.40716328814824,0.13456037806243,0.545081457530158,0.210794677278945,0.109563487128467,,,,,6117,0.706392022233121,0.0931829328102011,0.054601929050188,0.113127350008174,0.019127023050515,0.0111165604054275,2560,0.232421875,0.480078125,0.023828125,0.076953125,0.11328125,6.81201956673655,0.402049848590729,0.200791986955509,"offense","career"
"DEN",14782,0.581518062508456,0.612772290623732,0.0750236774455419,8043,0.388287952256621,0.204650006216586,0.407062041526793,0.147333084669899,0.528534129056322,0.196319781176178,0.1278130050976,,,,,5924,0.705097906819716,0.0710668467251857,0.0482781904118839,0.115293720459149,0.0450708980418636,0.012660364618501,2422,0.2233691164327,0.335672997522709,0.0363336085879438,0.116845582163501,0.140792733278282,6.78603830645161,0.411038306451613,0.192036290322581,"offense","career"
"DET",14845,0.604445941394409,0.613607275176827,0.0855506904681711,8374,0.353594459039885,0.255314067351326,0.391091473608789,0.166825889658467,0.519703845235252,0.209816097444471,0.10365416766181,,,,,6125,0.692244897959184,0.0790204081632653,0.0873469387755102,0.099265306122449,0.0223673469387755,0.0184489795918367,2444,0.276186579378069,0.532733224222586,0.0114566284779051,0.10392798690671,0.060556464811784,6.81245330012453,0.409962640099626,0.201992528019925,"offense","career"
"GB",14500,0.580413793103448,0.656137931034483,0.0788965517241379,7835,0.376260370134014,0.21148691767709,0.412252712188896,0.168219527760051,0.497894065092533,0.199872367581366,0.13401403956605,,,,,5928,0.678137651821862,0.108805668016194,0.0512820512820513,0.104925775978408,0.0369433198380567,0.0180499325236167,2219,0.241099594411897,0.480396575033799,0.0446146913023885,0.0941865705272645,0.0991437584497521,6.71064158721979,0.448595722751868,0.157691316670961,"offense","career"
"HOU",14754,0.574352717907008,0.605327368849126,0.0741493832181103,7817,0.364206217218882,0.236791608033773,0.399002174747346,0.130612767046181,0.522067289241397,0.230267365997186,0.117052577715236,,,,,5968,0.695542895442359,0.119973190348525,0.0591487935656836,0.083612600536193,0.0261394101876676,0.0144101876675603,2482,0.227639000805802,0.489524576954069,0.0120870265914585,0.0922643029814666,0.0858178887993554,6.7810650887574,0.403910470800103,0.184461023925907,"offense","career"
"IND",14803,0.579342025265149,0.659123150712693,0.0762683239883807,8000,0.37,0.22975,0.40025,0.1465,0.512125,0.224625,0.11675,,,,,5863,0.780487804878049,0.0828927170390585,0.0223435101483882,0.0888623571550401,0.012280402524305,0.0107453522087668,2395,0.233820459290188,0.372025052192067,0.0375782881002088,0.0755741127348643,0.120668058455115,6.71607314725698,0.446823869104909,0.172521655437921,"offense","career"
"JAX",14541,0.60669830135479,0.660477271164294,0.0729660958668592,8143,0.373572393466781,0.219083875721479,0.40734373081174,0.155348151786811,0.511850669286504,0.220803143804495,0.111998035122191,,,,,6146,0.787666775138301,0.0662219329645298,0.0367718841522942,0.0785876993166287,0.0214773836641718,0.00764725024406118,2461,0.209264526615197,0.417716375457131,0.0296627387240959,0.10646078829744,0.0849248273059732,6.80796623582168,0.423107359535743,0.217620680559219,"offense","career"
"KC",14457,0.589748910562357,0.701321159299993,0.080168776371308,7983,0.374295377677565,0.208568207440812,0.417136414881623,0.195289991231367,0.502818489289741,0.194914192659401,0.106977326819491,,,,,6298,0.811845030168307,0.0674817402349952,0.0273102572245157,0.0579549063194665,0.015242934264846,0.0171483010479517,2605,0.177351247600768,0.54126679462572,0.054510556621881,0.12552783109405,0.0249520153550864,6.58454647256439,0.53471444568869,0.142777155655095,"offense","career"
"LAC",14800,0.599189189189189,0.677162162162162,0.0827027027027027,8275,0.374864048338369,0.219939577039275,0.405196374622356,0.162900302114804,0.506102719033233,0.216435045317221,0.114561933534743,,,,,6324,0.72011385199241,0.09044908285895,0.0377925363693865,0.103099304237824,0.0295698924731183,0.0159709044908286,2598,0.247113163972286,0.463048498845266,0.0261739799846035,0.0831408775981524,0.0939183987682833,6.8016507608976,0.420686097498066,0.205571318029404,"offense","career"
"LAR",14328,0.577191513121161,0.46894193188163,0.0803322166387493,7741,0.373336778194032,0.215863583516342,0.410799638289627,0.149722258106188,0.531197519700297,0.205399819144813,0.113680403048702,,,,,6000,0.556,0.1295,0.0868333333333333,0.190666666666667,0.013,0.0228333333333333,2408,0.273671096345515,0.558554817275748,0.0124584717607973,0.0942691029900332,0.135797342192691,6.73528693528694,0.423199023199023,0.174114774114774,"offense","career"
"LV",14246,0.605784079741682,0.606626421451636,0.0764425101782957,8039,0.364597586764523,0.236596591615873,0.398805821619604,0.15064062694365,0.531036198532156,0.20537380271178,0.112949371812414,,,,,6016,0.714594414893617,0.0844414893617021,0.0511968085106383,0.0935837765957447,0.0443816489361702,0.00897606382978723,2472,0.212378640776699,0.459546925566343,0.0161812297734628,0.0813106796116505,0.0950647249190938,6.79291338582677,0.423097112860892,0.207349081364829,"offense","career"
"MIA",14054,0.600327308951188,0.714173900668849,0.0764195246904796,7788,0.379943502824859,0.222521828454032,0.397534668721109,0.153697996918336,0.500770416024653,0.233692860811505,0.111838726245506,,,,,5892,0.713509843856076,0.0957230142566191,0.0283435166327223,0.086897488119484,0.0151052274270197,0.0583842498302783,2358,0.274385072094996,0.693808312128923,0.0407124681933842,0.110687022900763,0.0576759966072943,6.65307753796962,0.46576072475353,0.150013322675193,"offense","career"
