"gsis_id","field_third","carries","yards_per_carry","epa_per_rush_raw","success_rate","explosive_rate","stuff_rate","td_rate","first_down_rate","carries_total","carries_charted","carries_uncharted","epa_overall","carry_share","epa_per_rush","evidence_class","output_class","window"
"00-0023439","MIDDLE",15,4.13333333333333,0.136018122651149,0.533333333333333,0,0.133333333333333,0.0666666666666667,0.333333333333333,71,71,0,-0.0950280096595877,0.211267605633803,-0.0488187831974405,"WEAK","OBSERVED","career"
"00-0023439","RIGHT",33,3.15151515151515,-0.185581621483751,0.272727272727273,0,0.151515151515152,0,0.0909090909090909,71,71,0,-0.0950280096595877,0.464788732394366,-0.127159936435904,"WEAK","OBSERVED","career"
"00-0023459","LEFT",11,3.63636363636364,-0.319227332068632,0.545454545454545,0.0909090909090909,0.454545454545455,0,0.363636363636364,60,40,20,-0.684884462140964,0.275,-0.62823335748187,"INSUFFICIENT","OBSERVED","career"
"00-0023459","MIDDLE",22,2.13636363636364,0.177979582324877,0.590909090909091,0.0454545454545455,0.227272727272727,0.136363636363636,0.545454545454545,60,40,20,-0.684884462140964,0.55,-0.453384352650128,"WEAK","OBSERVED","career"
"00-0023459","RIGHT",7,4,0.476750388748807,0.857142857142857,0.142857142857143,0.142857142857143,0.142857142857143,0.857142857142857,60,40,20,-0.684884462140964,0.175,-0.563519626973376,"INSUFFICIENT","OBSERVED","career"
"00-0023500","LEFT",674,4.24925816023739,-0.0747503919249301,0.391691394658754,0.0682492581602374,0.181008902077151,0.0252225519287834,0.213649851632047,2082,2081,1,-0.113274296097602,0.32388274867852,-0.0778994849090722,"STRONG","OBSERVED","career"
"00-0023500","MIDDLE",725,3.87724137931034,-0.111766045119646,0.372413793103448,0.056551724137931,0.184827586206897,0.0137931034482758,0.191724137931035,2082,2081,1,-0.113274296097602,0.348390197020663,-0.111881325449172,"STRONG","OBSERVED","career"
"00-0023500","RIGHT",682,3.95894428152493,-0.15084958936922,0.356304985337244,0.0689149560117302,0.196480938416422,0.0161290322580643,0.193548387096774,2082,2081,1,-0.113274296097602,0.327727054300817,-0.14781115595103,"STRONG","OBSERVED","career"
"00-0023545","LEFT",27,3.59259259259259,-0.0268153001239557,0.407407407407407,0.0740740740740741,0.222222222222222,0.0740740740740741,0.185185185185185,63,63,0,-0.0168603073296483,0.428571428571429,-0.0199497878520196,"WEAK","OBSERVED","career"
"00-0023545","MIDDLE",2,1,0.187312869544257,0.5,0,0,0.5,0.5,63,63,0,-0.0168603073296483,0.0317460317460317,-0.0102740758175868,"INSUFFICIENT","OBSERVED","career"
"00-0023545","RIGHT",34,4.29411764705882,-0.0209650587502811,0.411764705882353,0.147058823529412,0.294117647058824,0.0294117647058823,0.352941176470588,63,63,0,-0.0168603073296483,0.53968253968254,-0.0183450046520048,"WEAK","OBSERVED","career"
"00-0023564","LEFT",168,4.61904761904762,-0.0131990774591368,0.410714285714286,0.107142857142857,0.196428571428571,0.0476190476190476,0.25,398,395,3,-0.0109804874665032,0.425316455696203,-0.0126152379873911,"STRONG","OBSERVED","career"
"00-0023564","MIDDLE",89,5.0561797752809,0.0309413408317089,0.460674157303371,0.0561797752808989,0.123595505617978,0.0224719101123595,0.179775280898876,398,395,3,-0.0109804874665032,0.225316455696203,0.0140600676914893,"MODERATE","OBSERVED","career"
"00-0023564","RIGHT",138,4.1231884057971,-0.0418215574839907,0.44927536231884,0.115942028985507,0.239130434782609,0.036231884057971,0.268115942028986,398,395,3,-0.0109804874665032,0.349367088607595,-0.0324757786908127,"STRONG","OBSERVED","career"
"00-0023682","LEFT",7,2.14285714285714,0.0740822387992272,0.428571428571429,0,0.285714285714286,0,0.285714285714286,79,65,14,-0.0932017623577866,0.107692307692308,-0.0757243294010837,"INSUFFICIENT","OBSERVED","career"
"00-0023682","MIDDLE",44,2.38636363636364,0.113424904130048,0.568181818181818,0.0454545454545455,0.204545454545455,0.136363636363636,0.5,79,65,14,-0.0932017623577866,0.676923076923077,-0.00578278807447195,"MODERATE","OBSERVED","career"
"00-0023682","RIGHT",14,3.42857142857143,0.187282513664806,0.642857142857143,0.142857142857143,0.214285714285714,0.214285714285714,0.571428571428571,79,65,14,-0.0932017623577866,0.215384615384615,-0.0401371695967556,"INSUFFICIENT","OBSERVED","career"
"00-0024103","LEFT",13,6.38461538461538,0.049259923810426,0.307692307692308,0.153846153846154,0.0769230769230769,0.0769230769230769,0.230769230769231,43,42,1,-0.0213097331122885,0.30952380952381,-0.00874253393427083,"INSUFFICIENT","OBSERVED","career"
"00-0024103","MIDDLE",20,4,-0.109843026250019,0.45,0.05,0.15,0,0.25,43,42,1,-0.0213097331122885,0.476190476190476,-0.043443056396721,"WEAK","OBSERVED","career"
