"gsis_id","run_gap","carries","yards_per_carry","epa_per_rush_raw","success_rate","explosive_rate","stuff_rate","epa_overall","epa_per_rush","evidence_class","output_class","window"
"00-0039299","END",6,2.83333333333333,-0.169567518688202,0.166666666666667,0,0.5,-0.404870325232653,-0.383479161001339,"INSUFFICIENT","OBSERVED","career"
"00-0039299","GUARD",8,2.875,-0.195963729769574,0.25,0,0.125,-0.404870325232653,-0.380293078707585,"INSUFFICIENT","OBSERVED","career"
"00-0039299","TACKLE",5,2.8,-0.758999995223712,0.6,0,0.2,-0.404870325232653,-0.432111069078119,"INSUFFICIENT","OBSERVED","career"
"00-0039325","END",7,0.571428571428572,-0.342158901653127,0.428571428571429,0,0.285714285714286,-0.213993043977402,-0.227383506719642,"INSUFFICIENT","OBSERVED","career"
"00-0039325","GUARD",23,3.95652173913044,0.0154055073786446,0.478260869565217,0,0.130434782608696,-0.213993043977402,-0.150424770710064,"WEAK","OBSERVED","career"
"00-0039325","TACKLE",8,2.75,-0.124150221476157,0.5,0,0.25,-0.213993043977402,-0.203423300153726,"INSUFFICIENT","OBSERVED","career"
"00-0039361","END",80,5.675,0.143869275018005,0.475,0.1375,0.2,-0.0386838950660492,0.0656322021248391,"MODERATE","OBSERVED","career"
"00-0039361","GUARD",112,3.97321428571429,-0.114118275304333,0.375,0.0357142857142857,0.214285714285714,-0.0386838950660492,-0.0878039566165597,"STRONG","OBSERVED","career"
"00-0039361","TACKLE",103,4.0873786407767,-0.137935428460935,0.359223300970874,0.0485436893203883,0.135922330097087,-0.0386838950660492,-0.101401121689812,"STRONG","OBSERVED","career"
"00-0039363","END",16,5.8125,0.23610497419395,0.3125,0.1875,0.125,0.057762704232508,0.095308445277022,"WEAK","OBSERVED","career"
"00-0039363","GUARD",24,3.75,-0.099317632366971,0.333333333333333,0.0416666666666667,0.208333333333333,0.057762704232508,0.0128826080612283,"WEAK","OBSERVED","career"
"00-0039363","TACKLE",22,6.5,0.0107344786506887,0.272727272727273,0.0909090909090909,0.272727272727273,0.057762704232508,0.0451453754178735,"WEAK","OBSERVED","career"
"00-0039373","END",14,4.5,-0.385157746632883,0.428571428571429,0.0714285714285714,0.142857142857143,-0.0224716429725632,-0.0910879328542453,"INSUFFICIENT","OBSERVED","career"
"00-0039373","GUARD",51,4.37254901960784,0.0798088244703271,0.470588235294118,0.0588235294117647,0.0392156862745098,-0.0224716429725632,0.024522085312008,"MODERATE","OBSERVED","career"
"00-0039373","TACKLE",28,4.75,0.13695364684723,0.428571428571429,0.0357142857142857,0.178571428571429,-0.0224716429725632,0.0282545856064618,"WEAK","OBSERVED","career"
"00-0039384","END",51,3.94117647058824,-0.233466252642364,0.333333333333333,0.117647058823529,0.196078431372549,-0.082880856561794,-0.152068741247461,"MODERATE","OBSERVED","career"
"00-0039384","GUARD",125,4.568,-0.0474664728708707,0.36,0.064,0.152,-0.082880856561794,-0.0589522189327917,"STRONG","OBSERVED","career"
"00-0039384","TACKLE",113,4.3716814159292,-0.00357814024118042,0.371681415929203,0.0619469026548673,0.15929203539823,-0.082880856561794,-0.0310819724911042,"STRONG","OBSERVED","career"
"00-0039391","END",50,5.62,0.137682021874934,0.4,0.1,0.22,-0.11362158908667,0.000607324986786693,"MODERATE","OBSERVED","career"
"00-0039391","GUARD",39,3.35897435897436,-0.318831409468092,0.282051282051282,0.0256410256410256,0.230769230769231,-0.11362158908667,-0.194461821358139,"WEAK","OBSERVED","career"
"00-0039391","TACKLE",40,4.6,-0.071802048571434,0.4,0.125,0.3,-0.11362158908667,-0.0968937728805754,"MODERATE","OBSERVED","career"
"00-0039405","END",10,7,-0.285054479975189,0.2,0.2,0.3,-0.209182203284188,-0.220021099954331,"INSUFFICIENT","OBSERVED","career"
"00-0039405","GUARD",14,3.92857142857143,-0.225587344250276,0.285714285714286,0,0.214285714285714,-0.209182203284188,-0.212285878602097,"INSUFFICIENT","OBSERVED","career"
"00-0039405","TACKLE",5,4.6,-0.0651075686677359,0.4,0,0,-0.209182203284188,-0.198099539082923,"INSUFFICIENT","OBSERVED","career"
"00-0039732","END",24,4.33333333333333,0.285986920457805,0.458333333333333,0.125,0.291666666666667,0.121354863343859,0.168392593947844,"WEAK","OBSERVED","career"
"00-0039732","GUARD",8,3,0.00897487783367978,0.625,0.125,0.25,0.121354863343859,0.108133688577956,"INSUFFICIENT","OBSERVED","career"
"00-0039732","TACKLE",2,2,0.728850955492817,0.5,0,0,0.121354863343859,0.140951511477697,"INSUFFICIENT","OBSERVED","career"
"00-0039738","END",29,7.55172413793103,0.281815284164622,0.655172413793103,0.241379310344828,0.0689655172413793,0.0304669019531889,0.112366936606353,"WEAK","OBSERVED","career"
"00-0039738","GUARD",49,3.46938775510204,-0.129017630129891,0.428571428571429,0,0.122448979591837,0.0304669019531889,-0.0412279794419571,"MODERATE","OBSERVED","career"
"00-0039738","TACKLE",59,4.33898305084746,-0.0570387246572586,0.372881355932203,0.0847457627118644,0.220338983050847,0.0304669019531889,-0.012918240651991,"MODERATE","OBSERVED","career"
"00-0039746","END",5,5.6,-0.17605223050341,0.2,0.2,0.2,-0.271937786464711,-0.264561974467688,"INSUFFICIENT","OBSERVED","career"
"00-0039746","GUARD",7,2.71428571428571,-0.281300292308775,0.428571428571429,0,0.285714285714286,-0.271937786464711,-0.272915958717076,"INSUFFICIENT","OBSERVED","career"
"00-0039746","TACKLE",21,2.33333333333333,-0.329090994177419,0.0952380952380952,0,0.19047619047619,-0.271937786464711,-0.286755284760598,"WEAK","OBSERVED","career"
"00-0039757","END",2,3.5,-0.347986331675202,0,0,0.5,-0.0442356693237498,-0.0540340777866999,"INSUFFICIENT","OBSERVED","career"
"00-0039757","GUARD",9,1.66666666666667,-0.228433202518823,0.111111111111111,0,0.333333333333333,-0.0442356693237498,-0.0682614345231072,"INSUFFICIENT","OBSERVED","career"
"00-0039757","TACKLE",5,1.2,0.243928536587007,0.4,0,0.2,-0.0442356693237498,-0.0220691919459993,"INSUFFICIENT","OBSERVED","career"
"00-0039794","END",9,3,-0.296564457174908,0.333333333333333,0,0.333333333333333,-0.146991142414342,-0.166500705209199,"INSUFFICIENT","OBSERVED","career"
"00-0039794","GUARD",29,2.72413793103448,-0.291988851612932,0.275862068965517,0,0.137931034482759,-0.146991142414342,-0.194237586984669,"WEAK","OBSERVED","career"
"00-0039794","TACKLE",32,4.53125,0.0246596608285472,0.46875,0.0625,0.15625,-0.146991142414342,-0.0872865151994243,"WEAK","OBSERVED","career"
"00-0039798","END",12,6.16666666666667,0.031198407630048,0.5,0.166666666666667,0.25,0.0161573008033038,0.0186641519410945,"INSUFFICIENT","OBSERVED","career"
"00-0039798","GUARD",25,5.32,-0.0627936711404576,0.4,0.12,0.08,0.0161573008033038,-0.00706357329780246,"WEAK","OBSERVED","career"
"00-0039798","TACKLE",23,5.65217391304348,-0.0299863640345747,0.391304347826087,0.0869565217391304,0.0869565217391304,0.0161573008033038,0.00337050211328931,"WEAK","OBSERVED","career"
"00-0039851","END",4,10.25,1.37394484323158,0.75,0.5,0,-0.686136663151944,-0.557381569002974,"INSUFFICIENT","OBSERVED","career"
"00-0039851","GUARD",7,1.42857142857143,0.0543317408051475,0.428571428571429,0,0.142857142857143,-0.686136663151944,-0.608774292589263,"INSUFFICIENT","OBSERVED","career"
"00-0039874","END",47,3.87234042553191,-0.202996116249198,0.468085106382979,0.106382978723404,0.319148936170213,-0.188488949556588,-0.194861256421566,"MODERATE","OBSERVED","career"
"00-0039874","GUARD",25,5.2,-0.0323782798380125,0.36,0.08,0.2,-0.188488949556588,-0.142574046698184,"WEAK","OBSERVED","career"
"00-0039874","TACKLE",32,3.09375,-0.0883555942603838,0.4375,0.03125,0.25,-0.188488949556588,-0.153659956410082,"WEAK","OBSERVED","career"
"00-0039875","END",27,4.48148148148148,-0.0124135142563049,0.37037037037037,0.0740740740740741,0.222222222222222,-0.02477094961012,-0.0209358834658326,"WEAK","OBSERVED","career"
"00-0039875","GUARD",47,4.53191489361702,-0.0759221867706497,0.361702127659574,0.148936170212766,0.276595744680851,-0.02477094961012,-0.047239250045119,"MODERATE","OBSERVED","career"
"00-0039875","TACKLE",59,3.23728813559322,-0.0422668501219744,0.389830508474576,0.0508474576271186,0.220338983050847,-0.02477094961012,-0.0334453876790226,"MODERATE","OBSERVED","career"
"00-0039880","END",18,6.94444444444444,0.0659620480857686,0.5,0.222222222222222,0.111111111111111,0.0370046015384353,0.0436870892032045,"WEAK","OBSERVED","career"
"00-0039880","TACKLE",3,7,0.398440899521423,0.666666666666667,0,0,0.0370046015384353,0.0542158538233394,"INSUFFICIENT","OBSERVED","career"
"00-0039894","END",29,6.6551724137931,0.278751230064041,0.655172413793103,0.172413793103448,0.137931034482759,0.211124426666497,0.233160126649966,"WEAK","OBSERVED","career"
"00-0039894","TACKLE",1,2,-0.387408647569828,0,0,0,0.211124426666497,0.201312409056065,"INSUFFICIENT","OBSERVED","career"
"00-0039910","END",51,5.64705882352941,0.26377235729802,0.568627450980392,0.117647058823529,0.215686274509804,0.133851499864962,0.193544866793665,"MODERATE","OBSERVED","career"
"00-0039910","GUARD",8,1.125,-0.0406757095261128,0.5,0,0.375,0.133851499864962,0.113318886995424,"INSUFFICIENT","OBSERVED","career"
"00-0039910","TACKLE",10,2.4,0.503030767341261,0.6,0.1,0.3,0.133851499864962,0.186591395218719,"INSUFFICIENT","OBSERVED","career"
"00-0039918","END",26,4.19230769230769,0.215060803404553,0.538461538461538,0,0.0384615384615385,-0.472885396140723,-0.264901661394477,"WEAK","OBSERVED","career"
"00-0039918","GUARD",1,3,0.629423358477652,1,0,0,-0.472885396140723,-0.45481476081911,"INSUFFICIENT","OBSERVED","career"
"00-0039918","TACKLE",2,2,0.454270420290413,0.5,0,0.5,-0.472885396140723,-0.442977143997783,"INSUFFICIENT","OBSERVED","career"
"00-0039921","END",23,5.69565217391304,-0.00383820647313963,0.347826086956522,0.130434782608696,0.217391304347826,-0.0562959578951462,-0.0417594725613372,"WEAK","OBSERVED","career"
"00-0039921","GUARD",10,7.2,0.143450433760881,0.3,0.2,0.1,-0.0562959578951462,-0.0277607590871423,"INSUFFICIENT","OBSERVED","career"
"00-0039921","TACKLE",22,4.68181818181818,0.0255677149905658,0.318181818181818,0.0909090909090909,0.0909090909090909,-0.0562959578951462,-0.0343325334623942,"WEAK","OBSERVED","career"
"00-0040078","END",17,3.64705882352941,-0.0497270402573871,0.411764705882353,0.0588235294117647,0.235294117647059,-0.221458247730466,-0.183543565561085,"WEAK","OBSERVED","career"
"00-0040078","GUARD",8,3.25,-0.232157080739853,0.25,0,0.125,-0.221458247730466,-0.222716933966865,"INSUFFICIENT","OBSERVED","career"
"00-0040078","TACKLE",11,3.27272727272727,-0.20271608042954,0.272727272727273,0,0.181818181818182,-0.221458247730466,-0.218554531669759,"INSUFFICIENT","OBSERVED","career"
"00-0040122","END",29,3.82758620689655,-0.198240805004828,0.448275862068966,0.103448275862069,0.344827586206897,-0.244123735477325,-0.229173117682916,"WEAK","OBSERVED","career"
"00-0040122","GUARD",109,4.03669724770642,-0.137657865282488,0.339449541284404,0.0642201834862385,0.247706422018349,-0.244123735477325,-0.175456399079471,"STRONG","OBSERVED","career"
"00-0040122","TACKLE",53,3.45283018867925,-0.272715206515589,0.30188679245283,0.0377358490566038,0.207547169811321,-0.244123735477325,-0.257533894459874,"MODERATE","OBSERVED","career"
"00-0040142","END",5,0.4,-0.529091729491483,0.2,0,0.4,-0.27562277457872,-0.295120386495087,"INSUFFICIENT","OBSERVED","career"
"00-0040142","GUARD",7,2.14285714285714,-0.304305076881844,0.285714285714286,0,0.142857142857143,-0.27562277457872,-0.2786194330283,"INSUFFICIENT","OBSERVED","career"
"00-0040142","TACKLE",9,2.66666666666667,-0.285879663637994,0.111111111111111,0,0.111111111111111,-0.27562277457872,-0.276960629673408,"INSUFFICIENT","OBSERVED","career"
"00-0040162","END",18,2.72222222222222,-0.262919541716757,0.277777777777778,0.0555555555555556,0.277777777777778,-0.2588099568317,-0.259758322574406,"WEAK","OBSERVED","career"
"00-0040162","GUARD",16,2.9375,-0.165842944814358,0.375,0,0.1875,-0.2588099568317,-0.239237954301734,"WEAK","OBSERVED","career"
"00-0040162","TACKLE",21,2.95238095238095,-0.28388238682303,0.19047619047619,0.0476190476190476,0.380952380952381,-0.2588099568317,-0.265310216459082,"WEAK","OBSERVED","career"
"00-0040179","GUARD",3,4.66666666666667,0.0282243983820081,0.333333333333333,0.333333333333333,0.333333333333333,0.000785902926089338,0.00209249794779975,"INSUFFICIENT","OBSERVED","career"
"00-0040179","TACKLE",8,2.75,-0.186235957262397,0.5,0,0.25,0.000785902926089338,-0.0212166688607914,"INSUFFICIENT","OBSERVED","career"
"00-0040198","END",5,3,-0.154385369597003,0.4,0,0.2,-0.136731197137878,-0.138089210403964,"INSUFFICIENT","OBSERVED","career"
