"team","live__plays_faced","live__epa_per_play_allowed","live__success_allowed","live__explosive_pass_allowed","live__explosive_rush_allowed","man_zone__charted_mz","man_zone__man_rate","man_zone__zone_rate","coverage_family__charted_cov","coverage_family__cover_1","coverage_family__cover_2","coverage_family__cover_3","coverage_family__cover_4","coverage_family__cover_6","coverage_family__two_man","coverage_family__cover_0","pressure__charted_pressure","pressure__pressure_rate_generated","pressure__blitz_proxy_rate","pressure__pressure_without_heavy_blitz_rate","box__mean_box_deployed","box__heavy_box_rate","side","window"
"ARI",14640,-0.0237573072989979,0.433674863387978,0.0742486338797814,0.0382513661202186,4522,0.318885448916409,0.681114551083591,4522,0.219150818222026,0.146174259177355,0.311587793011942,0.136886333480761,0.0630252100840336,0.0420168067226891,0.0577178239716939,5637,0.277984743657974,0.327833954230974,0.163207379811957,6.82653550863724,0.239923224568138,"defense","career"
"ATL",14597,0.03150838994805,0.449955470302117,0.080838528464753,0.0339110776186888,4635,0.399137001078749,0.600862998921251,4635,0.324919093851133,0.183387270765912,0.293203883495146,0.0651564185544768,0.0295577130528587,0.0427184466019417,0.0314994606256742,5853,0.270288740816675,0.255297334244703,0.178711771740988,6.83449825262107,0.222666000998502,"defense","career"
"BAL",14501,-0.0475278298701707,0.410454451417143,0.078546307151231,0.0260671677815323,4903,0.415255965735264,0.584744034264736,4903,0.304915357944116,0.114011829492148,0.281256373648786,0.0913726290026514,0.0770956557209871,0.0358963899653274,0.0744442178258209,6079,0.28244777101497,0.302845862806383,0.179470307616384,6.83543240973971,0.219143576826196,"defense","career"
"BUF",14319,-0.0412803327279713,0.419582373070744,0.0686500453942314,0.0397374118304351,4421,0.33046821985976,0.66953178014024,4421,0.24066953178014,0.151549423207419,0.249038679031893,0.193847545804117,0.0554173263967428,0.0570006785795069,0.0327980095001131,5507,0.290902487742873,0.250817290228841,0.197203559106592,6.7091927680163,0.16908581614464,"defense","career"
"CAR",14410,0.000793388856092692,0.42990978487162,0.0739070090215128,0.0363636363636364,4330,0.291454965357968,0.708545034642032,4330,0.241108545034642,0.131177829099307,0.335796766743649,0.167898383371824,0.0551963048498845,0.0143187066974596,0.036027713625866,5493,0.262697979246313,0.298743855816494,0.159839796104133,6.89826787021225,0.244693827762869,"defense","career"
"CHI",14267,-0.00727364542137653,0.430854419289269,0.0771710941333146,0.036587930188547,4418,0.337935717519239,0.66206428248076,4418,0.27636939791761,0.157763693979176,0.266183793571752,0.104119511090991,0.116794929832503,0.0260298777727478,0.0355364418288818,5484,0.271334792122538,0.219730123997082,0.191101385849745,6.6879012345679,0.153827160493827,"defense","career"
"CIN",14742,0.00582472066363685,0.43684710351377,0.0773979107312441,0.0358838692172026,4543,0.371340523882897,0.628659476117103,4543,0.294739159145939,0.164869029275809,0.274708342504953,0.112480739599384,0.0539291217257319,0.0297160466651992,0.0468853180717587,5708,0.290294323756132,0.228801681850035,0.201822004204625,6.76612708383668,0.184344044455182,"defense","career"
"CLE",14785,-0.00685198099993938,0.421170104835983,0.0719648292188028,0.0381467703753805,4466,0.363636363636364,0.636363636363636,4466,0.296909986565159,0.119346171070309,0.299820868786386,0.146887595163457,0.0510523958799821,0.0221674876847291,0.0445588893864756,5537,0.299620733249052,0.29907892360484,0.18204804045512,6.91773656680932,0.265810746552544,"defense","career"
"DAL",14458,0.000493975247361923,0.437750726241527,0.0758749481256052,0.0376953935537419,4424,0.377260397830018,0.622739602169982,4424,0.331374321880651,0.190325497287523,0.290913200723327,0.0938065099457504,0.0280289330922242,0.0196654611211573,0.0262206148282098,5667,0.301041115228516,0.257631904005647,0.199400035292042,6.77542265960131,0.180418874589957,"defense","career"
"DEN",14647,-0.0619845515756967,0.402334949136341,0.0719601283539291,0.0262169727589267,4740,0.419198312236287,0.580801687763713,4740,0.328270042194093,0.0738396624472574,0.25210970464135,0.104852320675105,0.122784810126582,0.0430379746835443,0.0478902953586498,5785,0.301469317199654,0.320484010371651,0.184269662921348,6.80135440180587,0.230248306997743,"defense","career"
