"team","man_rate","blitz_proxy_rate","pressure_rate_generated","heavy_box_rate","epa_allowed","deep_epa_allowed","middle_epa_allowed","explosive_allowed","archetype_cluster","archetype_label_status","vector_version"
"ARI",0.318885448916409,0.327833954230974,0.277984743657974,0.239923224568138,-0.0237573072989979,0.316657641960095,0.144587296960339,0.192195991809996,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","defense-scheme-2026.1"
"ATL",0.399137001078749,0.255297334244703,0.270288740816675,0.222666000998502,0.03150838994805,0.483901110720031,0.266232419974233,0.20456951924214,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","defense-scheme-2026.1"
"BAL",0.415255965735264,0.302845862806383,0.28244777101497,0.219143576826196,-0.0475278298701707,0.418271775721508,0.280146725999129,0.189888749774465,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","defense-scheme-2026.1"
"BUF",0.33046821985976,0.250817290228841,0.290902487742873,0.16908581614464,-0.0412803327279713,0.169526043645279,0.0148636168624463,0.175250039725933,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","defense-scheme-2026.1"
"CAR",0.291454965357968,0.298743855816494,0.262697979246313,0.244693827762869,0.000793388856092692,0.261163700826052,0.106315037771536,0.189073459037535,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","defense-scheme-2026.1"
"CHI",0.337935717519239,0.219730123997082,0.271334792122538,0.153827160493827,-0.00727364542137653,0.478274343234573,0.281500445034439,0.20417730168618,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","defense-scheme-2026.1"
"CIN",0.371340523882897,0.228801681850035,0.290294323756132,0.184344044455182,0.00582472066363685,0.30504134469145,0.146125849882088,0.193337042424128,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","defense-scheme-2026.1"
"CLE",0.363636363636364,0.29907892360484,0.299620733249052,0.265810746552544,-0.00685198099993938,0.297558817106791,0.168061767806688,0.182953222120974,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","defense-scheme-2026.1"
"DAL",0.377260397830018,0.257631904005647,0.301041115228516,0.180418874589957,0.000493975247361923,0.439407438512046,0.276711205967186,0.205780094407517,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","defense-scheme-2026.1"
"DEN",0.419198312236287,0.320484010371651,0.301469317199654,0.230248306997743,-0.0619845515756967,0.302966207826575,0.112554926536188,0.179349332253712,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","defense-scheme-2026.1"
"DET",0.477866551500756,0.284920083391244,0.275364836692147,0.218026183282981,0.0163488849979252,0.456958933870298,0.252723919529364,0.203119668444752,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","defense-scheme-2026.1"
"GB",0.308667119257751,0.252355072463768,0.290579710144928,0.181246857717446,0.00323646060330851,0.380443400874091,0.291976402285194,0.195864532321842,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","defense-scheme-2026.1"
"HOU",0.365869708269357,0.261172685019664,0.278691455130497,0.217517541737237,-0.0326076732373329,0.378807038364846,0.16286842362202,0.186435493143861,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","defense-scheme-2026.1"
"IND",0.282594594594595,0.211655906473565,0.264131193300768,0.172764720135692,0.00247438397371668,0.484187058194854,0.299817920285181,0.21198573758395,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","defense-scheme-2026.1"
"JAX",0.345336225596529,0.253128855984488,0.281459287980261,0.25389369592089,0.00757214940521177,0.407494593034182,0.237554153355904,0.196461182064573,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","defense-scheme-2026.1"
"KC",0.444514767932489,0.288952799864659,0.288783623752326,0.151663657467114,-0.0141689168534088,0.284425271181239,0.0975740791244613,0.18153245643351,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","defense-scheme-2026.1"
"LAC",0.298636363636364,0.225185991653058,0.280529849392125,0.17103274559194,-0.0108667087817999,0.406794797091965,0.299895627751542,0.190132728994391,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","defense-scheme-2026.1"
"LAR",0.299677765843179,0.285344381149663,0.29621957534956,0.163068326136652,-0.039313421961673,0.319279733678934,0.242907271985707,0.194490989597044,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","defense-scheme-2026.1"
