"gsis_id","bucket","targets","catch_rate","yards_per_target","air_yards","yac","epa_per_target","success_rate","explosive_rate","n_opp","targets_eligible","targets_charted_mz","mz_coverage_rate","target_share_vs_bucket","evidence_class","availability","source","family","window"
"00-0029269","ZONE",28,0.392857142857143,4.57142857142857,19.9642857142857,6,-0.635527912174959,0.25,0.0714285714285714,11,45,45,1,0.622222222222222,"INSUFFICIENT","PRIOR_ONLY","participation","receiver_coverage","career"
"00-0029293","MAN",170,0.558823529411765,6.79411764705882,12.0647058823529,1.77894736842105,0.12970661567328,0.505882352941176,0.176470588235294,28,480,478,0.995833333333333,0.355648535564854,"MODERATE","PRIOR_ONLY","participation","receiver_coverage","career"
"00-0029293","ZONE",308,0.652597402597403,8.08441558441559,13.2175324675325,2.28855721393035,0.282497928906173,0.529220779220779,0.185064935064935,30,480,478,0.995833333333333,0.644351464435146,"STRONG","PRIOR_ONLY","participation","receiver_coverage","career"
"00-0029319","MAN",10,0.4,3.4,14.4,2.5,-0.543267005740199,0.3,0.1,6,29,28,0.96551724137931,0.357142857142857,"INSUFFICIENT","PRIOR_ONLY","participation","receiver_coverage","career"
"00-0029319","ZONE",18,0.666666666666667,5.72222222222222,9.61111111111111,3.83333333333333,-0.18038487358444,0.555555555555556,0.0555555555555556,11,29,28,0.96551724137931,0.642857142857143,"INSUFFICIENT","PRIOR_ONLY","participation","receiver_coverage","career"
"00-0029388","MAN",11,0.545454545454545,4.09090909090909,8.45454545454546,2.33333333333333,-0.503571739351504,0.454545454545455,0,7,30,30,1,0.366666666666667,"INSUFFICIENT","PRIOR_ONLY","participation","receiver_coverage","career"
"00-0029388","ZONE",19,0.578947368421053,6.10526315789474,14.9473684210526,2.18181818181818,-0.0210449053280938,0.473684210526316,0,9,30,30,1,0.633333333333333,"INSUFFICIENT","PRIOR_ONLY","participation","receiver_coverage","career"
"00-0029572","MAN",50,0.54,6.14,7.52,4.03703703703704,-0.0248911782339207,0.44,0.14,16,119,117,0.983193277310924,0.427350427350427,"WEAK","PRIOR_ONLY","participation","receiver_coverage","career"
"00-0029572","ZONE",67,0.656716417910448,6.50746268656716,9.05970149253731,4.04545454545454,-0.106163332055332,0.462686567164179,0.119402985074627,19,119,117,0.983193277310924,0.572649572649573,"WEAK","PRIOR_ONLY","participation","receiver_coverage","career"
"00-0029587","MAN",12,0.583333333333333,5.58333333333333,3.33333333333333,5.71428571428571,-0.0545201683967897,0.333333333333333,0.25,6,63,60,0.952380952380952,0.2,"INSUFFICIENT","PRIOR_ONLY","participation","receiver_coverage","career"
"00-0029587","ZONE",48,0.75,7.75,6.625,4.80555555555556,0.140806697581821,0.479166666666667,0.166666666666667,18,63,60,0.952380952380952,0.8,"WEAK","PRIOR_ONLY","participation","receiver_coverage","career"
