"gsis_id","bucket","plays","completion_pct","epa_per_play","success_rate","air_yards","yac","explosive_rate","sack_rate","scramble_rate","turnover_rate","td_rate","time_to_throw","n_opp","deep_share","intermediate_share","short_share","behind_los_share","middle_share","coverage_rate_mz","evidence_class","availability","source","family","window"
"00-0019596","MAN",1181,0.577476714648603,0.217357868926895,0.470787468247248,8.72142252328535,4.8533724340176,0.146486028789162,0,0,0.0152413209144793,0.0889077053344624,2.56016596104996,31,0.127857747671465,0.21930567315834,0.551227773073666,0.101608806096528,0.222692633361558,0.964744547355841,"STRONG","PRIOR_ONLY","participation","qb_coverage","career"
"00-0019596","ZONE",2048,0.70263671875,0.172279474640811,0.5146484375,7.3837890625,5.0632383599722,0.13525390625,0,0,0.0166015625,0.02734375,2.570275390625,31,0.11474609375,0.1728515625,0.5244140625,0.18798828125,0.271128480703469,0.964744547355841,"STRONG","PRIOR_ONLY","participation","qb_coverage","career"
"00-0020531","MAN",460,0.673913043478261,0.298984640996951,0.539130434782609,7.82173913043478,4.67741935483871,0.147826086956522,0,0,0.0130434782608696,0.110869565217391,2.50065,24,0.117391304347826,0.228260869565217,0.543478260869565,0.110869565217391,0.180434782608696,0.96671826625387,"STRONG","PRIOR_ONLY","participation","qb_coverage","career"
"00-0020531","ZONE",789,0.773130544993663,0.306948169478482,0.55893536121673,5.94423320659062,5.49180327868853,0.163498098859316,0,0,0.0114068441064639,0.0405576679340938,2.66295944233207,24,0.0595690747782003,0.204055766793409,0.546261089987326,0.190114068441065,0.23447401774398,0.96671826625387,"STRONG","PRIOR_ONLY","participation","qb_coverage","career"
"00-0021206","MAN",40,0.425,-0.238200272712348,0.375,9.8,4.52941176470588,0.15,0,0,0.025,0.025,2.55205,4,0.2,0.25,0.425,0.125,0.225,0.942148760330578,"WEAK","PRIOR_ONLY","participation","qb_coverage","career"
"00-0021206","ZONE",74,0.621621621621622,-0.17452820512217,0.418918918918919,5.87837837837838,5.34782608695652,0.108108108108108,0,0,0.0405405405405405,0,2.54616216216216,4,0.0945945945945946,0.121621621621622,0.554054054054054,0.22972972972973,0.22972972972973,0.942148760330578,"WEAK","PRIOR_ONLY","participation","qb_coverage","career"
"00-0022787","MAN",15,0.6,0.246267115611334,0.533333333333333,10.6666666666667,3.77777777777778,0.266666666666667,0,0,0,0.0666666666666667,2.29126666666667,4,0,0.666666666666667,0.333333333333333,0,0.4,0.972972972972973,"INSUFFICIENT","PRIOR_ONLY","participation","qb_coverage","career"
"00-0022787","ZONE",57,0.807017543859649,0.306432191584714,0.614035087719298,6.31578947368421,5.21739130434783,0.157894736842105,0,0,0.0175438596491228,0.0350877192982456,2.28868421052632,4,0.0526315789473684,0.228070175438596,0.578947368421053,0.140350877192982,0.157894736842105,0.972972972972973,"WEAK","PRIOR_ONLY","participation","qb_coverage","career"
"00-0022803","MAN",200,0.58,0.23688024996345,0.5,8.965,5.12068965517241,0.18,0,0,0.02,0.085,2.51834,15,0.16,0.195,0.565,0.08,0.185,0.931524547803618,"STRONG","PRIOR_ONLY","participation","qb_coverage","career"
"00-0022803","ZONE",521,0.679462571976967,0.125392096586927,0.439539347408829,6.95201535508637,5.59604519774011,0.142034548944338,0,0,0.0230326295585412,0.019193857965451,2.70004222648752,15,0.103646833013436,0.18426103646833,0.535508637236084,0.17658349328215,0.224568138195777,0.931524547803618,"STRONG","PRIOR_ONLY","participation","qb_coverage","career"
"00-0022924","MAN",729,0.595336076817558,0.13026802582235,0.447187928669411,8.33058984910836,5.3963133640553,0.131687242798354,0,0,0.0164609053497943,0.0768175582990398,2.34742249657064,25,0.139917695473251,0.198902606310014,0.547325102880658,0.113854595336077,0.238683127572016,0.957962413452028,"STRONG","PRIOR_ONLY","participation","qb_coverage","career"
"00-0022924","ZONE",1208,0.69205298013245,0.116560566008399,0.48053024026512,6.62748344370861,5.30502392344498,0.104304635761589,0,0,0.0206953642384106,0.0264900662251656,2.4614048013245,25,0.0985099337748344,0.175496688741722,0.540562913907285,0.185430463576159,0.312913907284768,0.957962413452028,"STRONG","PRIOR_ONLY","participation","qb_coverage","career"
"00-0022942","MAN",686,0.610787172011662,0.273052274737066,0.518950437317784,8.19270072992701,5.54892601431981,0.186588921282799,0.00145772594752185,0,0.0262390670553936,0.0685131195335277,2.4858496350365,22,0.0948905109489051,0.306569343065693,0.487591240875912,0.110948905109489,0.248175182481752,0.953245324532453,"STRONG","PRIOR_ONLY","participation","qb_coverage","career"
"00-0022942","ZONE",1047,0.711556829035339,0.212467850306562,0.522445081184336,7.65867689357622,5.96644295302013,0.159503342884432,0.00382043935052526,0,0.0267430754536771,0.0343839541547278,2.63156184084372,22,0.12464046021093,0.197507190795781,0.462128475551294,0.215723873441994,0.274209012464046,0.953245324532453,"STRONG","PRIOR_ONLY","participation","qb_coverage","career"
"00-0023436","MAN",170,0.535294117647059,-0.0468526553218629,0.452941176470588,8.26627218934911,5.42857142857143,0.164705882352941,0,0,0.0529411764705882,0.0411764705882353,2.72624705882353,16,0.14792899408284,0.201183431952663,0.532544378698225,0.118343195266272,0.218934911242604,0.929260450160772,"MODERATE","PRIOR_ONLY","participation","qb_coverage","career"
"00-0023436","ZONE",408,0.691176470588235,0.0648498035369557,0.463235294117647,6.22303921568628,5.0709219858156,0.0857843137254902,0,0,0.00980392156862747,0.0220588235294118,2.71762254901961,16,0.0857843137254902,0.125,0.602941176470588,0.186274509803922,0.28921568627451,0.929260450160772,"STRONG","PRIOR_ONLY","participation","qb_coverage","career"
"00-0023459","MAN",1505,0.566112956810631,0.138253220998742,0.453820598006645,8.90115098171971,5.45539906103286,0.1421926910299,0.0186046511627907,0,0.0132890365448506,0.0817275747508306,2.63105754908599,32,0.168584969532837,0.19634394041977,0.494922139471903,0.140148950575491,0.174001354096141,0.957749938590027,"STRONG","PRIOR_ONLY","participation","qb_coverage","career"
