"dimension","same_position_multiplier"
"air_yards_share",1.4591897806266
"kick_return_role",1.25235971241134
"position_group_rush_share",1.7312231032131
"position_group_target_share",1.26636336235009
"punt_return_role",2.21027538302958
"rush_share",2.46499015299684
"rz_carry_share",1.78124503342443
"rz_target_share",1.13351147205232
"snap_share",1.79551048442782
"target_share",1.14216540744906
